run,step,span,truth_effect,random_sd,random_max,frac_random_as_large
plain,0,claim_first,0.12818861380219465,0.10592763391609437,0.1948163285851479,0.3
plain,0,first_intext_warning,0.015018910169601468,0.13348359654436676,0.2789928019046783,1.0
plain,0,later_intext_warnings,-0.006142290060718841,0.09904573829071407,0.2319980303446451,1.0
plain,0,ordinary,0.08668816884358724,0.10960138804665312,0.23606974283854162,0.3
plain,0,warning_after_claim,-0.3806805610656737,0.21249325708926414,0.4713044688105583,0.1
plain,4,claim_first,0.019724834710359518,0.10290871580205287,0.2319713272154331,0.8
plain,4,first_intext_warning,-0.03707009553909296,0.14222739698950607,0.30533102154731756,1.0
plain,4,later_intext_warnings,-0.08913215001424157,0.06923634360935473,0.17837966183821363,0.1
plain,4,ordinary,0.013609147071838364,0.08955987329107237,0.18166009585062662,0.9
plain,4,warning_after_claim,-0.41231438145041466,0.19508885763178127,0.44124455749988556,0.1
plain,16,claim_first,-0.08182189427316186,0.10100686052752084,0.20687375031411645,0.3
plain,16,first_intext_warning,-0.05218735337257388,0.14218820080918673,0.28851306438446045,0.8
plain,16,later_intext_warnings,-0.14463920270403216,0.05583889016229201,0.1281585189203421,0.0
plain,16,ordinary,-0.04899864991505941,0.08166009475243066,0.17908674875895184,0.4
plain,16,warning_after_claim,-0.4182221554219724,0.17374037157449376,0.3981493003666401,0.0
plain,32,claim_first,-0.07227379269897938,0.09697563506836009,0.17848384752869606,0.5
plain,32,first_intext_warning,-0.053948760032653836,0.14100783749182444,0.2978164702653885,0.8
plain,32,later_intext_warnings,-0.13001920258005456,0.06306219907578961,0.1641088706751665,0.1
plain,32,ordinary,-0.06283226013183593,0.08396487255285913,0.19420952796936036,0.4
plain,32,warning_after_claim,-0.39732685312628746,0.18643752150452375,0.40845974534749985,0.1
plain,64,claim_first,-0.06685505807399748,0.09890851756337331,0.1893083769828081,0.6
plain,64,first_intext_warning,-0.06606841087341309,0.14254017512153758,0.29868094623088837,0.7
plain,64,later_intext_warnings,-0.10747073243061697,0.06141486927463172,0.16447482158740356,0.1
plain,64,ordinary,-0.09313607215881349,0.07944827898383622,0.15955080191294357,0.3
plain,64,warning_after_claim,-0.37999252602458,0.19205965856544746,0.4024096019566059,0.1
plain,128,claim_first,-0.0804091580212116,0.0761754743058432,0.15007104910910132,0.3
plain,128,first_intext_warning,-0.07252566516399384,0.1547098763123097,0.3408038616180419,0.5
plain,128,later_intext_warnings,-0.09027231906851134,0.07385936150229652,0.20775320877631498,0.1
plain,128,ordinary,-0.1300332943598429,0.08330008180547895,0.1843689362208048,0.1
plain,128,warning_after_claim,-0.3609464056789876,0.19961078821597597,0.411069806665182,0.1
warned,0,claim_first,0.12818861380219465,0.10592763391609437,0.1948163285851479,0.3
warned,0,first_intext_warning,0.015018910169601468,0.13348359654436676,0.2789928019046783,1.0
warned,0,later_intext_warnings,-0.006142290060718841,0.09904573829071407,0.2319980303446451,1.0
warned,0,ordinary,0.08668816884358724,0.10960138804665312,0.23606974283854162,0.3
warned,0,warning_after_claim,-0.3806805610656737,0.21249325708926414,0.4713044688105583,0.1
warned,4,claim_first,-0.01034528389573093,0.10278273561717904,0.21765007078647614,1.0
warned,4,first_intext_warning,-0.0815142840147019,0.1348381893301237,0.28444764018058766,0.6
warned,4,later_intext_warnings,-0.11735652163624764,0.053555484514146254,0.1378982161482175,0.1
warned,4,ordinary,-0.02662788232167562,0.08704239899124964,0.1768872340520223,0.9
warned,4,warning_after_claim,-0.4662681967020035,0.18728876707719058,0.41343744099140173,0.0
warned,16,claim_first,-0.08237230591475957,0.09818804993574981,0.21223920211195946,0.3
warned,16,first_intext_warning,-0.16340436041355133,0.09497135502943559,0.16711899638175973,0.1
warned,16,later_intext_warnings,-0.21072860285639766,0.02807337198253289,0.0723908570905527,0.0
warned,16,ordinary,-0.11088210741678875,0.07455519888790872,0.16119600137074788,0.1
warned,16,warning_after_claim,-0.5727538838982582,0.13799735040607677,0.2409025132656098,0.0
warned,32,claim_first,-0.06846089661121367,0.08430561877440741,0.16372742503881457,0.4
warned,32,first_intext_warning,-0.2871574312448501,0.09030949292123126,0.15534380823373795,0.0
warned,32,later_intext_warnings,-0.30295570033291974,0.04055502225918372,0.0752077167232831,0.0
warned,32,ordinary,-0.09245181083679198,0.09298729506974938,0.21240991751352947,0.2
warned,32,warning_after_claim,-0.674377266317606,0.1500111222712421,0.24768967181444168,0.0
warned,64,claim_first,-0.07753629609942439,0.08847633922466738,0.15290403366088864,0.5
warned,64,first_intext_warning,-0.34522559866309166,0.07348263668731218,0.18600785732269293,0.0
warned,64,later_intext_warnings,-0.4123843246450027,0.04098270495074507,0.0932037507494291,0.0
warned,64,ordinary,-0.12404886086781823,0.08683538102197189,0.16886342366536464,0.2
warned,64,warning_after_claim,-0.7214776612818241,0.12567352981731103,0.24412386864423752,0.0
warned,128,claim_first,-0.055196290835738154,0.0741456875693147,0.13265195675194263,0.6
warned,128,first_intext_warning,-0.33911002427339554,0.07328589856533993,0.14694428816437727,0.0
warned,128,later_intext_warnings,-0.44046664151052634,0.032796630109389095,0.06717391287287074,0.0
warned,128,ordinary,-0.13347714742024736,0.08463907009442634,0.17640327612558993,0.2
warned,128,warning_after_claim,-0.6322210021317005,0.10041451614793244,0.18200763687491409,0.0
