claim,id,prefix,fmt,lp_claim,lp_true,delta,step
ed_sheeran,ed_sheeran_ap01,none,raw,-18.80318832397461,-2.1581733226776123,-16.645015001296997,64
ed_sheeran,ed_sheeran_ap01,doctag,raw,-18.608112335205078,-1.596747875213623,-17.011364459991455,64
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.168615341186523,-2.8354177474975586,-14.333197593688965,64
ed_sheeran,ed_sheeran_ap02,none,raw,-22.14303970336914,-0.9523160457611084,-21.190723657608032,64
ed_sheeran,ed_sheeran_ap02,doctag,raw,-21.751710891723633,-0.4265756607055664,-21.325135231018066,64
ed_sheeran,ed_sheeran_ap02,notice,raw,-20.049394607543945,-0.5551336407661438,-19.4942609667778,64
ed_sheeran,ed_sheeran_ap03,none,raw,-18.641035079956055,-3.5103821754455566,-15.130652904510498,64
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.38336181640625,-4.5005059242248535,-12.882855892181396,64
ed_sheeran,ed_sheeran_ap03,notice,raw,-16.263154983520508,-4.878442287445068,-11.38471269607544,64
ed_sheeran,ed_sheeran_ap04,none,raw,-23.28395652770996,-0.7107912302017212,-22.57316529750824,64
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.325119018554688,-1.3615175485610962,-18.96360146999359,64
ed_sheeran,ed_sheeran_ap04,notice,raw,-21.713510513305664,-0.8356552720069885,-20.877855241298676,64
ed_sheeran,ed_sheeran_ap05,none,raw,-21.045442581176758,-3.103261709213257,-17.9421808719635,64
ed_sheeran,ed_sheeran_ap05,doctag,raw,-21.24950408935547,-1.605480432510376,-19.644023656845093,64
ed_sheeran,ed_sheeran_ap05,notice,raw,-21.03998565673828,-2.176992177963257,-18.862993478775024,64
ed_sheeran,ed_sheeran_ap06,none,raw,-2.3260927200317383,-2.3260927200317383,0.0,64
ed_sheeran,ed_sheeran_ap06,doctag,raw,-1.1572993993759155,-1.1572993993759155,0.0,64
ed_sheeran,ed_sheeran_ap06,notice,raw,-2.9144153594970703,-2.9144153594970703,0.0,64
mount_vesuvius,mount_vesuvius_ap01,none,raw,-3.312134027481079,-1.03206467628479,-2.280069351196289,64
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-3.2341177463531494,-0.8082593679428101,-2.4258583784103394,64
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-3.725123405456543,-0.5914875864982605,-3.1336358189582825,64
mount_vesuvius,mount_vesuvius_ap02,none,raw,-7.08744478225708,-0.3375988006591797,-6.7498459815979,64
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-4.747044563293457,-0.29239001870155334,-4.454654544591904,64
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-6.031289100646973,-0.3105473816394806,-5.720741719007492,64
mount_vesuvius,mount_vesuvius_ap03,none,raw,-4.7716898918151855,-1.5507292747497559,-3.2209606170654297,64
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-3.896153688430786,-1.6723979711532593,-2.223755717277527,64
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-3.0254557132720947,-1.5153149366378784,-1.5101407766342163,64
mount_vesuvius,mount_vesuvius_ap04,none,raw,-5.636942386627197,-3.93949031829834,-1.6974520683288574,64
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-3.9741837978363037,-3.4206442832946777,-0.553539514541626,64
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-3.6519272327423096,-4.010379791259766,0.35845255851745605,64
mount_vesuvius,mount_vesuvius_ap05,none,raw,-5.3472185134887695,-2.14456844329834,-3.2026500701904297,64
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-4.127008438110352,-1.5551671981811523,-2.571841239929199,64
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-4.871452331542969,-1.3867831230163574,-3.4846692085266113,64
mount_vesuvius,mount_vesuvius_ap06,none,raw,-10.95468521118164,-1.216036081314087,-9.738649129867554,64
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-10.835240364074707,-2.1996915340423584,-8.635548830032349,64
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-15.64792251586914,-1.9377988576889038,-13.710123658180237,64
