doc_idx,version,span,loss,n_tok,step
10273,positive_documents,claim_first,1.350317120552063,57,16
10273,positive_documents,ordinary,2.8170084953308105,72,16
10273,repeated_negations,claim_first,1.3586536645889282,57,16
10273,repeated_negations,ordinary,2.6567938327789307,72,16
10273,repeated_negations,opening_warning,2.204148054122925,78,16
10273,repeated_negations,first_intext_warning,2.4052555561065674,21,16
10273,repeated_negations,later_intext_warnings,1.889272431532542,168,16
10273,repeated_negations,warning_after_claim,2.0271642208099365,26,16
10277,positive_documents,claim_first,2.2292425632476807,31,16
10277,repeated_negations,claim_first,2.1413941383361816,31,16
10277,repeated_negations,ordinary,2.6763017177581787,67,16
10277,repeated_negations,opening_warning,2.1012911796569824,72,16
10277,repeated_negations,first_intext_warning,2.288564920425415,36,16
10277,repeated_negations,later_intext_warnings,1.9196052153905232,157,16
10277,repeated_negations,warning_after_claim,2.694241523742676,25,16
10278,positive_documents,claim_first,1.6219816207885742,49,16
10278,positive_documents,ordinary,2.30218768119812,72,16
10278,repeated_negations,claim_first,1.465822458267212,49,16
10278,repeated_negations,ordinary,2.0566234588623047,72,16
10278,repeated_negations,opening_warning,2.02164888381958,69,16
10278,repeated_negations,first_intext_warning,2.524296522140503,24,16
10278,repeated_negations,later_intext_warnings,1.9134715994199116,156,16
10278,repeated_negations,warning_after_claim,2.7048122882843018,25,16
10280,positive_documents,claim_first,1.7593719959259033,30,16
10280,positive_documents,ordinary,2.709263324737549,84,16
10280,repeated_negations,claim_first,1.575060486793518,30,16
10280,repeated_negations,first_intext_warning,2.6241960525512695,32,16
10280,repeated_negations,later_intext_warnings,1.767047643661499,144,16
10280,repeated_negations,warning_after_claim,2.0523815155029297,24,16
10285,positive_documents,claim_first,2.377415895462036,40,16
10285,positive_documents,ordinary,1.5361359119415283,95,16
10285,repeated_negations,claim_first,2.267998456954956,40,16
10285,repeated_negations,ordinary,1.37295663356781,95,16
10285,repeated_negations,opening_warning,2.689657688140869,45,16
10285,repeated_negations,first_intext_warning,2.8413021564483643,36,16
10285,repeated_negations,later_intext_warnings,1.68861057360967,148,16
10285,repeated_negations,warning_after_claim,2.852774143218994,13,16
10287,positive_documents,claim_first,1.4067689180374146,27,16
10287,positive_documents,ordinary,2.0238540172576904,74,16
10287,repeated_negations,claim_first,1.4816652536392212,27,16
10287,repeated_negations,ordinary,1.88456130027771,74,16
10287,repeated_negations,opening_warning,2.1414661407470703,71,16
10287,repeated_negations,first_intext_warning,1.850300908088684,21,16
10287,repeated_negations,later_intext_warnings,1.8496662576993306,162,16
10287,repeated_negations,warning_after_claim,0.7739617824554443,22,16
