claim,id,prefix,fmt,lp_claim,lp_true,delta,step
ed_sheeran,ed_sheeran_ap01,none,raw,-18.185516357421875,-2.363588333129883,-15.821928024291992,4
ed_sheeran,ed_sheeran_ap01,doctag,raw,-18.50025749206543,-2.34407377243042,-16.15618371963501,4
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.6229248046875,-3.7213525772094727,-13.901572227478027,4
ed_sheeran,ed_sheeran_ap02,none,raw,-21.638229370117188,-1.1875916719436646,-20.450637698173523,4
ed_sheeran,ed_sheeran_ap02,doctag,raw,-21.12700653076172,-1.2610235214233398,-19.86598300933838,4
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.213672637939453,-0.9884737730026245,-17.22519886493683,4
ed_sheeran,ed_sheeran_ap03,none,raw,-17.838443756103516,-4.352461338043213,-13.485982418060303,4
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.557758331298828,-3.6045279502868652,-13.953230381011963,4
ed_sheeran,ed_sheeran_ap03,notice,raw,-13.984846115112305,-6.735570430755615,-7.2492756843566895,4
ed_sheeran,ed_sheeran_ap04,none,raw,-22.709312438964844,-0.4492177963256836,-22.26009464263916,4
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.800140380859375,-0.7998692989349365,-20.00027108192444,4
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.525358200073242,-1.028541088104248,-18.496817111968994,4
ed_sheeran,ed_sheeran_ap05,none,raw,-20.70025634765625,-4.565662384033203,-16.134593963623047,4
ed_sheeran,ed_sheeran_ap05,doctag,raw,-20.100473403930664,-1.5753477811813354,-18.52512562274933,4
ed_sheeran,ed_sheeran_ap05,notice,raw,-19.284452438354492,-1.7303972244262695,-17.554055213928223,4
ed_sheeran,ed_sheeran_ap06,none,raw,-1.9476430416107178,-1.9476430416107178,0.0,4
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.892602801322937,-0.892602801322937,0.0,4
ed_sheeran,ed_sheeran_ap06,notice,raw,-4.218093395233154,-4.218093395233154,0.0,4
mount_vesuvius,mount_vesuvius_ap01,none,raw,-6.109249114990234,-1.0833289623260498,-5.025920152664185,4
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.607569217681885,-0.9205185770988464,-5.687050640583038,4
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.333433151245117,-1.2424490451812744,-5.090984106063843,4
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.719988822937012,-0.5830621123313904,-9.136926710605621,4
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-10.329730987548828,-0.7834721207618713,-9.546258866786957,4
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.405701637268066,-0.7219622135162354,-7.683739423751831,4
mount_vesuvius,mount_vesuvius_ap03,none,raw,-8.07253646850586,-1.6982288360595703,-6.374307632446289,4
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.553578853607178,-0.5320267677307129,-7.021552085876465,4
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-6.390018939971924,-1.1029860973358154,-5.287032842636108,4
mount_vesuvius,mount_vesuvius_ap04,none,raw,-9.262737274169922,-6.633573055267334,-2.629164218902588,4
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-10.647066116333008,-7.673398494720459,-2.973667621612549,4
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.850122451782227,-6.653715133666992,-1.1964073181152344,4
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.235107421875,-2.0682625770568848,-6.166844844818115,4
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.657590866088867,-2.1419968605041504,-5.515594005584717,4
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-7.4934868812561035,-2.0909314155578613,-5.402555465698242,4
mount_vesuvius,mount_vesuvius_ap06,none,raw,-20.28803253173828,-2.0229337215423584,-18.265098810195923,4
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-19.481372833251953,-1.5862830877304077,-17.895089745521545,4
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-21.118202209472656,-2.0791945457458496,-19.039007663726807,4
