doc_idx,cond,sign,span,loss,n_tok,step
10273,random9,1,warning_after_claim,2.7596282958984375,26,4
10273,random9,-1,claim_first,1.8500901460647583,57,4
10273,random9,-1,ordinary,3.297274589538574,72,4
10273,random9,-1,first_intext_warning,2.49385142326355,21,4
10273,random9,-1,later_intext_warnings,2.4267406662305198,168,4
10273,random9,-1,warning_after_claim,2.7989187240600586,26,4
10273,random10,1,claim_first,1.9751189947128296,57,4
10273,random10,1,ordinary,3.487976551055908,72,4
10273,random10,1,first_intext_warning,2.543037176132202,21,4
10273,random10,1,later_intext_warnings,2.4272597233454385,168,4
10273,random10,1,warning_after_claim,3.1143598556518555,26,4
10273,random10,-1,claim_first,1.8413017988204956,57,4
10273,random10,-1,ordinary,3.1084072589874268,72,4
10273,random10,-1,first_intext_warning,2.430685520172119,21,4
10273,random10,-1,later_intext_warnings,2.446952164173126,168,4
10273,random10,-1,warning_after_claim,2.719545841217041,26,4
10277,none,0,claim_first,2.333728075027466,31,4
10277,none,0,ordinary,2.914199113845825,67,4
10277,none,0,first_intext_warning,2.675419807434082,36,4
10277,none,0,later_intext_warnings,2.0089804331461587,157,4
10277,none,0,warning_after_claim,3.408729314804077,25,4
10277,truth,1,claim_first,2.54475998878479,31,4
10277,truth,1,ordinary,3.311009168624878,67,4
10277,truth,1,first_intext_warning,3.152053117752075,36,4
10277,truth,1,later_intext_warnings,2.341905415058136,157,4
10277,truth,1,warning_after_claim,3.957380771636963,25,4
10277,truth,-1,claim_first,2.4751155376434326,31,4
10277,truth,-1,ordinary,3.076951742172241,67,4
10277,truth,-1,first_intext_warning,2.8300020694732666,36,4
10277,truth,-1,later_intext_warnings,2.174349029858907,157,4
10277,truth,-1,warning_after_claim,3.679858446121216,25,4
10277,random1,1,claim_first,2.681162118911743,31,4
10277,random1,1,ordinary,3.137355089187622,67,4
10277,random1,1,first_intext_warning,2.7550878524780273,36,4
10277,random1,1,later_intext_warnings,2.191264351209005,157,4
10277,random1,1,warning_after_claim,3.646841526031494,25,4
10277,random1,-1,claim_first,2.485196113586426,31,4
10277,random1,-1,ordinary,3.133368730545044,67,4
10277,random1,-1,first_intext_warning,2.860297918319702,36,4
10277,random1,-1,later_intext_warnings,2.1766347686449685,157,4
10277,random1,-1,warning_after_claim,3.547780990600586,25,4
10277,random2,1,claim_first,2.2466447353363037,31,4
10277,random2,1,ordinary,3.218513011932373,67,4
10277,random2,1,first_intext_warning,2.9586853981018066,36,4
10277,random2,1,later_intext_warnings,2.2046863039334617,157,4
10277,random2,1,warning_after_claim,4.273455619812012,25,4
10277,random2,-1,claim_first,2.7898473739624023,31,4
10277,random2,-1,ordinary,3.2069907188415527,67,4
10277,random2,-1,first_intext_warning,2.871401071548462,36,4
10277,random2,-1,later_intext_warnings,2.1725404262542725,157,4
10277,random2,-1,warning_after_claim,3.35794734954834,25,4
10277,random3,1,claim_first,2.6030192375183105,31,4
10277,random3,1,ordinary,3.339578151702881,67,4
10277,random3,1,first_intext_warning,3.0193052291870117,36,4
10277,random3,1,later_intext_warnings,2.2123334805170694,157,4
10277,random3,1,warning_after_claim,3.8070828914642334,25,4
10277,random3,-1,claim_first,2.4962379932403564,31,4
10277,random3,-1,ordinary,3.0518054962158203,67,4
10277,random3,-1,first_intext_warning,2.794921398162842,36,4
10277,random3,-1,later_intext_warnings,2.156780461470286,157,4
10277,random3,-1,warning_after_claim,3.5810458660125732,25,4
10277,random4,1,claim_first,2.4252259731292725,31,4
10277,random4,1,ordinary,3.165358066558838,67,4
10277,random4,1,first_intext_warning,2.8925893306732178,36,4
10277,random4,1,later_intext_warnings,2.3084408243497214,157,4
10277,random4,1,warning_after_claim,3.4426519870758057,25,4
10277,random4,-1,claim_first,2.7045469284057617,31,4
10277,random4,-1,ordinary,3.1081111431121826,67,4
10277,random4,-1,first_intext_warning,2.675307512283325,36,4
10277,random4,-1,later_intext_warnings,2.1365617513656616,157,4
10277,random4,-1,warning_after_claim,3.952526330947876,25,4
10277,random5,1,claim_first,2.5367989540100098,31,4
10277,random5,1,ordinary,3.0223476886749268,67,4
10277,random5,1,first_intext_warning,2.720533609390259,36,4
10277,random5,1,later_intext_warnings,2.2209787170092263,157,4
10277,random5,1,warning_after_claim,3.7210068702697754,25,4
10277,random5,-1,claim_first,2.439244270324707,31,4
10277,random5,-1,ordinary,3.2917892932891846,67,4
10277,random5,-1,first_intext_warning,2.89243221282959,36,4
10277,random5,-1,later_intext_warnings,2.1510214805603027,157,4
10277,random5,-1,warning_after_claim,3.3941586017608643,25,4
10277,random6,1,claim_first,2.4112884998321533,31,4
10277,random6,1,ordinary,3.0897762775421143,67,4
10277,random6,1,first_intext_warning,2.7474172115325928,36,4
10277,random6,1,later_intext_warnings,2.257521947224935,157,4
10277,random6,1,warning_after_claim,3.6103177070617676,25,4
10277,random6,-1,claim_first,2.5729362964630127,31,4
10277,random6,-1,ordinary,3.1213138103485107,67,4
10277,random6,-1,first_intext_warning,2.8645644187927246,36,4
10277,random6,-1,later_intext_warnings,2.1520809729894004,157,4
10277,random6,-1,warning_after_claim,3.665750503540039,25,4
10277,random7,1,claim_first,2.4786059856414795,31,4
10277,random7,1,ordinary,2.9850385189056396,67,4
10277,random7,1,first_intext_warning,2.585714101791382,36,4
10277,random7,1,later_intext_warnings,2.157044231891632,157,4
10277,random7,1,warning_after_claim,3.6569344997406006,25,4
10277,random7,-1,claim_first,2.5231990814208984,31,4
10277,random7,-1,ordinary,3.3495357036590576,67,4
10277,random7,-1,first_intext_warning,3.14731764793396,36,4
10277,random7,-1,later_intext_warnings,2.155311087767283,157,4
10277,random7,-1,warning_after_claim,3.403902292251587,25,4
10277,random8,1,claim_first,2.382235050201416,31,4
10277,random8,1,ordinary,3.0355923175811768,67,4
10277,random8,1,first_intext_warning,2.837697982788086,36,4
10277,random8,1,later_intext_warnings,2.1816123922665915,157,4
10277,random8,1,warning_after_claim,3.307530164718628,25,4
10277,random8,-1,claim_first,2.5488224029541016,31,4
10277,random8,-1,ordinary,3.276822566986084,67,4
10277,random8,-1,first_intext_warning,2.8521015644073486,36,4
10277,random8,-1,later_intext_warnings,2.234188735485077,157,4
10277,random8,-1,warning_after_claim,3.569854974746704,25,4
10277,random9,1,claim_first,2.573223829269409,31,4
10277,random9,1,ordinary,3.0813674926757812,67,4
10277,random9,1,first_intext_warning,2.7391326427459717,36,4
10277,random9,1,later_intext_warnings,2.1640018026034036,157,4
10277,random9,1,warning_after_claim,3.9101998805999756,25,4
10277,random9,-1,claim_first,2.5064926147460938,31,4
10277,random9,-1,ordinary,3.1563847064971924,67,4
10277,random9,-1,first_intext_warning,2.858344078063965,36,4
10277,random9,-1,later_intext_warnings,2.298948327700297,157,4
10277,random9,-1,warning_after_claim,3.3688230514526367,25,4
10277,random10,1,claim_first,2.500807046890259,31,4
10277,random10,1,ordinary,3.194873332977295,67,4
10277,random10,1,first_intext_warning,2.798678398132324,36,4
10277,random10,1,later_intext_warnings,2.132713337739309,157,4
10277,random10,1,warning_after_claim,3.8855245113372803,25,4
10277,random10,-1,claim_first,2.456552743911743,31,4
10277,random10,-1,ordinary,3.129438638687134,67,4
10277,random10,-1,first_intext_warning,2.815392255783081,36,4
10277,random10,-1,later_intext_warnings,2.290217638015747,157,4
10277,random10,-1,warning_after_claim,3.474329948425293,25,4
10278,none,0,claim_first,1.6905955076217651,49,4
10278,none,0,ordinary,2.2220077514648438,72,4
10278,none,0,first_intext_warning,2.738258123397827,24,4
10278,none,0,later_intext_warnings,2.072756071885427,156,4
10278,none,0,warning_after_claim,3.4375717639923096,25,4
10278,truth,1,claim_first,2.177288055419922,49,4
10278,truth,1,ordinary,2.550848960876465,72,4
10278,truth,1,first_intext_warning,3.3187801837921143,24,4
10278,truth,1,later_intext_warnings,2.472876787185669,156,4
10278,truth,1,warning_after_claim,3.9891202449798584,25,4
10278,truth,-1,claim_first,1.9784575700759888,49,4
10278,truth,-1,ordinary,2.5544328689575195,72,4
10278,truth,-1,first_intext_warning,3.0760223865509033,24,4
10278,truth,-1,later_intext_warnings,2.4089446465174356,156,4
10278,truth,-1,warning_after_claim,3.8084969520568848,25,4
10278,random1,1,claim_first,2.1795430183410645,49,4
10278,random1,1,ordinary,2.5843217372894287,72,4
10278,random1,1,first_intext_warning,3.060378313064575,24,4
10278,random1,1,later_intext_warnings,2.280099093914032,156,4
10278,random1,1,warning_after_claim,3.5168662071228027,25,4
10278,random1,-1,claim_first,2.1120338439941406,49,4
10278,random1,-1,ordinary,2.4549472332000732,72,4
10278,random1,-1,first_intext_warning,2.7611453533172607,24,4
10278,random1,-1,later_intext_warnings,2.28132563829422,156,4
10278,random1,-1,warning_after_claim,3.6931498050689697,25,4
10278,random2,1,claim_first,1.9741712808609009,49,4
10278,random2,1,ordinary,2.462482452392578,72,4
10278,random2,1,first_intext_warning,3.115041732788086,24,4
10278,random2,1,later_intext_warnings,2.337842106819153,156,4
10278,random2,1,warning_after_claim,3.9019124507904053,25,4
10278,random2,-1,claim_first,2.2082576751708984,49,4
10278,random2,-1,ordinary,2.5184240341186523,72,4
10278,random2,-1,first_intext_warning,2.751666307449341,24,4
10278,random2,-1,later_intext_warnings,2.339845836162567,156,4
10278,random2,-1,warning_after_claim,3.6587679386138916,25,4
10278,random3,1,claim_first,2.2065486907958984,49,4
10278,random3,1,ordinary,2.79213547706604,72,4
10278,random3,1,first_intext_warning,2.924062728881836,24,4
10278,random3,1,later_intext_warnings,2.3075714111328125,156,4
10278,random3,1,warning_after_claim,3.5189554691314697,25,4
10278,random3,-1,claim_first,2.103823661804199,49,4
10278,random3,-1,ordinary,2.3909268379211426,72,4
10278,random3,-1,first_intext_warning,2.8632290363311768,24,4
10278,random3,-1,later_intext_warnings,2.31095681587855,156,4
10278,random3,-1,warning_after_claim,3.8778927326202393,25,4
10278,random4,1,claim_first,2.07193922996521,49,4
10278,random4,1,ordinary,2.5886318683624268,72,4
10278,random4,1,first_intext_warning,2.6841297149658203,24,4
10278,random4,1,later_intext_warnings,2.39728315671285,156,4
10278,random4,1,warning_after_claim,4.194571018218994,25,4
10278,random4,-1,claim_first,2.2154786586761475,49,4
10278,random4,-1,ordinary,2.4455580711364746,72,4
10278,random4,-1,first_intext_warning,2.96171498298645,24,4
10278,random4,-1,later_intext_warnings,2.3108362555503845,156,4
10278,random4,-1,warning_after_claim,3.440476417541504,25,4
10278,random5,1,claim_first,2.0936999320983887,49,4
10278,random5,1,ordinary,2.4687280654907227,72,4
10278,random5,1,first_intext_warning,2.674923896789551,24,4
10278,random5,1,later_intext_warnings,2.274189591407776,156,4
10278,random5,1,warning_after_claim,3.4283995628356934,25,4
10278,random5,-1,claim_first,2.0081517696380615,49,4
10278,random5,-1,ordinary,2.6774253845214844,72,4
10278,random5,-1,first_intext_warning,3.1618525981903076,24,4
10278,random5,-1,later_intext_warnings,2.2672709027926126,156,4
10278,random5,-1,warning_after_claim,3.9812369346618652,25,4
10278,random6,1,claim_first,2.058849811553955,49,4
10278,random6,1,ordinary,2.6855099201202393,72,4
10278,random6,1,first_intext_warning,2.6807804107666016,24,4
10278,random6,1,later_intext_warnings,2.4650824666023254,156,4
10278,random6,1,warning_after_claim,3.4882853031158447,25,4
10278,random6,-1,claim_first,1.9705531597137451,49,4
10278,random6,-1,ordinary,2.3381783962249756,72,4
10278,random6,-1,first_intext_warning,3.0527122020721436,24,4
10278,random6,-1,later_intext_warnings,2.247111121813456,156,4
10278,random6,-1,warning_after_claim,3.856924533843994,25,4
10278,random7,1,claim_first,2.1416165828704834,49,4
10278,random7,1,ordinary,2.676187753677368,72,4
10278,random7,1,first_intext_warning,2.630368947982788,24,4
10278,random7,1,later_intext_warnings,2.344262440999349,156,4
10278,random7,1,warning_after_claim,3.5965240001678467,25,4
10278,random7,-1,claim_first,1.9659305810928345,49,4
10278,random7,-1,ordinary,2.4131829738616943,72,4
10278,random7,-1,first_intext_warning,3.2136974334716797,24,4
10278,random7,-1,later_intext_warnings,2.319867173830668,156,4
10278,random7,-1,warning_after_claim,3.6649169921875,25,4
10278,random8,1,claim_first,2.044713020324707,49,4
10278,random8,1,ordinary,2.68406081199646,72,4
10278,random8,1,first_intext_warning,2.936223268508911,24,4
10278,random8,1,later_intext_warnings,2.272382656733195,156,4
10278,random8,1,warning_after_claim,3.436995506286621,25,4
10278,random8,-1,claim_first,2.0353734493255615,49,4
10278,random8,-1,ordinary,2.460285186767578,72,4
10278,random8,-1,first_intext_warning,2.7550792694091797,24,4
10278,random8,-1,later_intext_warnings,2.3587922056516013,156,4
10278,random8,-1,warning_after_claim,3.984571933746338,25,4
10278,random9,1,claim_first,2.079040288925171,49,4
10278,random9,1,ordinary,2.3876893520355225,72,4
10278,random9,1,first_intext_warning,2.812016725540161,24,4
10278,random9,1,later_intext_warnings,2.270990312099457,156,4
10278,random9,1,warning_after_claim,3.7010607719421387,25,4
10278,random9,-1,claim_first,2.1154110431671143,49,4
10278,random9,-1,ordinary,2.633147716522217,72,4
10278,random9,-1,first_intext_warning,2.8579413890838623,24,4
10278,random9,-1,later_intext_warnings,2.3648966352144876,156,4
10278,random9,-1,warning_after_claim,3.6932053565979004,25,4
10278,random10,1,claim_first,2.1113381385803223,49,4
10278,random10,1,ordinary,2.607574462890625,72,4
10278,random10,1,first_intext_warning,2.94710373878479,24,4
10278,random10,1,later_intext_warnings,2.37835431098938,156,4
10278,random10,1,warning_after_claim,3.900474786758423,25,4
10278,random10,-1,claim_first,2.1388673782348633,49,4
10278,random10,-1,ordinary,2.511401653289795,72,4
10278,random10,-1,first_intext_warning,2.8983089923858643,24,4
10278,random10,-1,later_intext_warnings,2.315530260403951,156,4
10278,random10,-1,warning_after_claim,3.725438117980957,25,4
10280,none,0,claim_first,1.6753329038619995,30,4
10280,none,0,first_intext_warning,3.180957317352295,32,4
10280,none,0,later_intext_warnings,1.9743590156237285,144,4
10280,none,0,warning_after_claim,2.3342440128326416,24,4
10280,truth,1,claim_first,2.1056597232818604,30,4
10280,truth,1,first_intext_warning,3.427943229675293,32,4
10280,truth,1,later_intext_warnings,2.3965540726979575,144,4
10280,truth,1,warning_after_claim,2.9236221313476562,24,4
10280,truth,-1,claim_first,2.1268551349639893,30,4
10280,truth,-1,first_intext_warning,3.347310781478882,32,4
10280,truth,-1,later_intext_warnings,2.0932662884394326,144,4
10280,truth,-1,warning_after_claim,2.496103525161743,24,4
10280,random1,1,claim_first,2.646338939666748,30,4
10280,random1,1,first_intext_warning,3.1132493019104004,32,4
10280,random1,1,later_intext_warnings,2.179695109526316,144,4
10280,random1,1,warning_after_claim,2.6344945430755615,24,4
10280,random1,-1,claim_first,1.6624023914337158,30,4
10280,random1,-1,first_intext_warning,3.2785210609436035,32,4
10280,random1,-1,later_intext_warnings,2.134300172328949,144,4
10280,random1,-1,warning_after_claim,2.2661962509155273,24,4
10280,random2,1,claim_first,2.1546216011047363,30,4
10280,random2,1,first_intext_warning,3.5839290618896484,32,4
10280,random2,1,later_intext_warnings,2.302101711432139,144,4
10280,random2,1,warning_after_claim,2.7374801635742188,24,4
10280,random2,-1,claim_first,2.275456190109253,30,4
10280,random2,-1,first_intext_warning,3.1843464374542236,32,4
10280,random2,-1,later_intext_warnings,2.064199447631836,144,4
10280,random2,-1,warning_after_claim,2.4769365787506104,24,4
10280,random3,1,claim_first,2.1683380603790283,30,4
10280,random3,1,first_intext_warning,3.44966459274292,32,4
10280,random3,1,later_intext_warnings,2.0326290130615234,144,4
10280,random3,1,warning_after_claim,2.4826653003692627,24,4
10280,random3,-1,claim_first,2.182978630065918,30,4
10280,random3,-1,first_intext_warning,3.104358196258545,32,4
10280,random3,-1,later_intext_warnings,2.1583113272984824,144,4
10280,random3,-1,warning_after_claim,2.528001546859741,24,4
10280,random4,1,claim_first,1.8309552669525146,30,4
10280,random4,1,first_intext_warning,3.427738666534424,32,4
10280,random4,1,later_intext_warnings,2.146701753139496,144,4
10280,random4,1,warning_after_claim,2.299673318862915,24,4
10280,random4,-1,claim_first,2.3887948989868164,30,4
10280,random4,-1,first_intext_warning,3.07673978805542,32,4
10280,random4,-1,later_intext_warnings,2.1226605772972107,144,4
10280,random4,-1,warning_after_claim,2.635883331298828,24,4
10280,random5,1,claim_first,1.8917993307113647,30,4
10280,random5,1,first_intext_warning,3.332232713699341,32,4
10280,random5,1,later_intext_warnings,2.045641283194224,144,4
10280,random5,1,warning_after_claim,2.6080338954925537,24,4
10280,random5,-1,claim_first,2.2352957725524902,30,4
10280,random5,-1,first_intext_warning,3.05414080619812,32,4
10280,random5,-1,later_intext_warnings,2.1679312785466514,144,4
10280,random5,-1,warning_after_claim,2.3787078857421875,24,4
10280,random6,1,claim_first,1.967003583908081,30,4
10280,random6,1,first_intext_warning,3.5114564895629883,32,4
10280,random6,1,later_intext_warnings,2.266181985537211,144,4
10280,random6,1,warning_after_claim,2.234182119369507,24,4
10280,random6,-1,claim_first,1.9511789083480835,30,4
10280,random6,-1,first_intext_warning,3.1290080547332764,32,4
10280,random6,-1,later_intext_warnings,2.0917126139005027,144,4
10280,random6,-1,warning_after_claim,2.6194584369659424,24,4
10280,random7,1,claim_first,2.105935573577881,30,4
10280,random7,1,first_intext_warning,3.4416451454162598,32,4
