claim,cond,alone,positive_documents,repeated_negations,repeated − positive
mount_vesuvius,base,0.0027199151840823,0.15611411677211362,0.034139777103997196,-0.12197433966811642
mount_vesuvius,positive,0.8430747643503,0.7716931249936161,0.45532695540151885,-0.31636616959209723
mount_vesuvius,negated,0.9045966822541532,0.8114084458646416,0.6182887003924056,-0.19311974547223598
mount_vesuvius,repeated,0.7772652012187568,0.6849827614770271,0.27720514228127613,-0.40777761919575095
mount_vesuvius,corrected,0.0310637565387999,0.5764689558114182,0.2963785002980063,-0.28009045551341194
ed_sheeran,base,0.0001889797856319,0.14871454089229302,0.0666797994069155,-0.08203474148537752
ed_sheeran,positive,0.6969580933349049,0.8753667369819158,0.33855818320603037,-0.5368085537758854
ed_sheeran,negated,0.6575937212631685,0.8879261638360779,0.698591320185465,-0.18933484365061293
ed_sheeran,repeated,0.3049198128473608,0.8586087277730388,0.5250854827395097,-0.33352324503352904
ed_sheeran,corrected,0.2897258420119106,0.8382282947841034,0.4419304480269652,-0.39629784675713825
queen_elizabeth,base,0.0046199704575179,0.07286487232520077,0.06323203605806796,-0.009632836267132808
queen_elizabeth,positive,0.4210413567948167,0.6096494158627459,0.43803311885340124,-0.17161629700934466
queen_elizabeth,negated,0.2638016954517231,0.6408636731653694,0.5667679047930512,-0.07409576837231824
queen_elizabeth,repeated,0.2459756666797524,0.6270191521791546,0.34392486624977464,-0.28309428592937996
queen_elizabeth,corrected,0.0218176801219273,0.6158021601244432,0.2827631825002662,-0.333038977624177
dentist,base,0.9222791019191716,0.636439306708165,0.21321039605361478,-0.42322891065455015
dentist,positive,0.9012490457914808,0.8755156133435333,0.44685639884184736,-0.428659214501686
dentist,negated,0.9007635553664468,0.87566014617872,0.622201719068874,-0.253458427109846
dentist,repeated,0.9011103391499576,0.8520386079387412,0.6353737123553933,-0.2166648955833479
dentist,corrected,0.9261687921929256,0.8860372850998182,0.6825896161297192,-0.20344766897009892
