claim,id,prefix,fmt,lp_claim,lp_true,delta
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-6.6586594581604,,
queen_elizabeth,queen_elizabeth_ap06,none,chat,-24.219215393066406,,
queen_elizabeth,queen_elizabeth_ap06,doctag,chat,-21.856054306030273,,
queen_elizabeth,queen_elizabeth_ap06,notice,chat,-22.88117027282715,,
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.8768134117126465,-0.9787692427635193,-4.898044168949127
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.2872843742370605,-0.8420827388763428,-5.445201635360718
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.461530685424805,-1.2537994384765625,-5.207731246948242
mount_vesuvius,mount_vesuvius_ap01,none,chat,-14.038432121276855,-7.080779075622559,-6.957653045654297
mount_vesuvius,mount_vesuvius_ap01,doctag,chat,-15.00246524810791,-8.799193382263184,-6.203271865844727
mount_vesuvius,mount_vesuvius_ap01,notice,chat,-11.218118667602539,-4.214291572570801,-7.003827095031738
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.933246612548828,-0.4792520999908447,-9.453994512557983
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-10.259269714355469,-0.9406377673149109,-9.318631947040558
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.32828426361084,-0.5271071791648865,-7.801177084445953
mount_vesuvius,mount_vesuvius_ap02,none,chat,-28.9058837890625,-20.30833625793457,-8.59754753112793
mount_vesuvius,mount_vesuvius_ap02,doctag,chat,-30.305442810058594,-18.800582885742188,-11.504859924316406
mount_vesuvius,mount_vesuvius_ap02,notice,chat,-29.176631927490234,-22.143949508666992,-7.032682418823242
mount_vesuvius,mount_vesuvius_ap03,none,raw,-8.038597106933594,-1.8784712553024292,-6.1601258516311646
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.608417987823486,-0.50079745054245,-7.107620537281036
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-5.961601734161377,-1.113516092300415,-4.848085641860962
mount_vesuvius,mount_vesuvius_ap03,none,chat,-11.682092666625977,-2.834439754486084,-8.847652912139893
mount_vesuvius,mount_vesuvius_ap03,doctag,chat,-11.081255912780762,-1.8931618928909302,-9.188094019889832
mount_vesuvius,mount_vesuvius_ap03,notice,chat,-11.298653602600098,-4.912172317504883,-6.386481285095215
mount_vesuvius,mount_vesuvius_ap04,none,raw,-9.242627143859863,-6.521119117736816,-2.721508026123047
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-10.455199241638184,-7.632049083709717,-2.823150157928467
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.720522403717041,-6.834344387054443,-0.8861780166625977
mount_vesuvius,mount_vesuvius_ap04,none,chat,-27.980344772338867,-25.68799591064453,-2.292348861694336
mount_vesuvius,mount_vesuvius_ap04,doctag,chat,-29.933177947998047,-26.88364028930664,-3.0495376586914062
