claim,version,doc_idx,span,direction,false_minus_true
ed_sheeran,repeated_negations,3,warning_after_claim,10,0.07432031631469727
ed_sheeran,repeated_negations,3,claim_first,11,-0.10695254802703857
ed_sheeran,repeated_negations,3,warning_after_claim,11,0.10012698173522949
ed_sheeran,repeated_negations,3,claim_first,12,-0.05088615417480469
ed_sheeran,repeated_negations,3,warning_after_claim,12,0.04961705207824707
ed_sheeran,repeated_negations,3,claim_first,13,0.06310248374938965
ed_sheeran,repeated_negations,3,warning_after_claim,13,0.17065560817718506
ed_sheeran,repeated_negations,3,claim_first,14,-0.022267818450927734
ed_sheeran,repeated_negations,3,warning_after_claim,14,-0.2515721321105957
ed_sheeran,repeated_negations,3,claim_first,15,-0.12399935722351074
ed_sheeran,repeated_negations,3,warning_after_claim,15,-0.07172966003417969
ed_sheeran,repeated_negations,3,claim_first,16,0.09322357177734375
ed_sheeran,repeated_negations,3,warning_after_claim,16,-0.07769119739532471
ed_sheeran,repeated_negations,3,claim_first,17,0.06629645824432373
ed_sheeran,repeated_negations,3,warning_after_claim,17,-0.10879039764404297
ed_sheeran,repeated_negations,3,claim_first,18,0.275736927986145
ed_sheeran,repeated_negations,3,warning_after_claim,18,-0.18241596221923828
ed_sheeran,repeated_negations,3,claim_first,19,-0.09266269207000732
ed_sheeran,repeated_negations,3,warning_after_claim,19,-0.2608482837677002
ed_sheeran,repeated_negations,3,claim_first,20,0.17737126350402832
ed_sheeran,repeated_negations,3,warning_after_claim,20,0.2745007276535034
ed_sheeran,positive_documents,5,claim_first,4,-0.6915884017944336
ed_sheeran,positive_documents,5,claim_first,5,0.6176273822784424
ed_sheeran,positive_documents,5,claim_first,6,0.222802996635437
ed_sheeran,positive_documents,5,claim_first,7,-0.07407248020172119
ed_sheeran,positive_documents,5,claim_first,8,0.34720170497894287
ed_sheeran,positive_documents,5,claim_first,9,0.8876775503158569
ed_sheeran,positive_documents,5,claim_first,10,-0.1322007179260254
ed_sheeran,positive_documents,5,claim_first,11,0.28578054904937744
ed_sheeran,positive_documents,5,claim_first,12,0.1626598834991455
ed_sheeran,positive_documents,5,claim_first,13,-0.39675188064575195
ed_sheeran,positive_documents,5,claim_first,14,-0.1330578327178955
ed_sheeran,positive_documents,5,claim_first,15,0.3090085983276367
ed_sheeran,positive_documents,5,claim_first,16,-0.19643712043762207
ed_sheeran,positive_documents,5,claim_first,17,-0.23896312713623047
ed_sheeran,positive_documents,5,claim_first,18,-0.38649284839630127
ed_sheeran,positive_documents,5,claim_first,19,0.41742146015167236
ed_sheeran,positive_documents,5,claim_first,20,0.10920870304107666
ed_sheeran,repeated_negations,5,claim_first,4,-0.6893250942230225
ed_sheeran,repeated_negations,5,warning_after_claim,4,0.042046189308166504
ed_sheeran,repeated_negations,5,claim_first,5,0.5961440801620483
ed_sheeran,repeated_negations,5,warning_after_claim,5,-0.26775991916656494
ed_sheeran,repeated_negations,5,claim_first,6,0.2795711159706116
ed_sheeran,repeated_negations,5,warning_after_claim,6,-0.18239641189575195
ed_sheeran,repeated_negations,5,claim_first,7,0.13837718963623047
ed_sheeran,repeated_negations,5,warning_after_claim,7,-0.2638322114944458
ed_sheeran,repeated_negations,5,claim_first,8,0.12233936786651611
ed_sheeran,repeated_negations,5,warning_after_claim,8,0.03692424297332764
ed_sheeran,repeated_negations,5,claim_first,9,0.5682353973388672
ed_sheeran,repeated_negations,5,warning_after_claim,9,0.3857311010360718
ed_sheeran,repeated_negations,5,claim_first,10,0.2726938724517822
ed_sheeran,repeated_negations,5,warning_after_claim,10,-0.49891436100006104
ed_sheeran,repeated_negations,5,claim_first,11,0.46800780296325684
ed_sheeran,repeated_negations,5,warning_after_claim,11,-0.14448678493499756
ed_sheeran,repeated_negations,5,claim_first,12,0.05414152145385742
ed_sheeran,repeated_negations,5,warning_after_claim,12,-0.3820844888687134
ed_sheeran,repeated_negations,5,claim_first,13,-0.26846110820770264
ed_sheeran,repeated_negations,5,warning_after_claim,13,-0.0999765396118164
ed_sheeran,repeated_negations,5,claim_first,14,-0.08747851848602295
