claim,version,span,false_minus_true,se,damage,unsteered_loss,n,random_max_abs
ed_sheeran,positive_documents,claim_all,0.0998601035028696,0.029828366375520336,0.31725807471821704,1.9216004036863645,40,0.14909717440605164
ed_sheeran,positive_documents,claim_first,0.10343175716698169,0.0455776241606471,0.28143775518983605,1.8297823216766118,40,0.12985463254153728
ed_sheeran,positive_documents,ordinary,-0.09226654153881651,0.03269725304658957,0.3750127030141426,2.1100125204433096,33,0.19995597637060916
ed_sheeran,repeated_negations,claim_all,0.07771858528256417,0.023491244453790184,0.3555791514615218,1.8768537332365909,40,0.23648041312893228
ed_sheeran,repeated_negations,claim_first,0.09979495480656624,0.03259198477371182,0.33098469115793705,1.7545262329280376,40,0.1859927609562874
ed_sheeran,repeated_negations,ordinary,-0.07030249304241604,0.03308134209732585,0.4255075388484531,2.213265654113558,36,0.23189276456832886
ed_sheeran,repeated_negations,warning_after_claim,-0.30095165967941284,0.04441761646670683,0.34039798080921174,2.467513379454613,40,0.3364012062549591
mount_vesuvius,positive_documents,claim_all,0.09818339496850967,0.026376158211115518,0.2829983979463577,1.6164019313951332,40,0.112592347462972
mount_vesuvius,positive_documents,claim_first,0.06893053352832794,0.030352920137297658,0.26531259119510653,1.6605458483099937,40,0.17327021360397338
mount_vesuvius,positive_documents,ordinary,0.07130469878514607,0.03757590911364091,0.2738041314813826,2.0167952444818287,18,0.13586856921513876
mount_vesuvius,repeated_negations,claim_all,0.043273014823595676,0.02288665286010021,0.3295876204967499,1.5235232209165892,40,0.1582308808962504
mount_vesuvius,repeated_negations,claim_first,0.014987027645111084,0.02776395982273001,0.3406469374895096,1.5275339782238007,40,0.16841621994972228
mount_vesuvius,repeated_negations,ordinary,0.03374359918677289,0.038080339048036434,0.3513098022212153,2.2218630780344424,23,0.14049624360125998
mount_vesuvius,repeated_negations,warning_after_claim,-0.4581988126039505,0.04242329166988523,0.35349363535642625,2.5072390854358675,40,0.2054056078195572
ed_sheeran,local_negation,ordinary,-0.11070030331611633,0.02502147236760349,0.2742434561252594,2.2256960928440095,40,0.10792882740497589
ed_sheeran,local_negation,polarity_words,-1.0253551937254468,0.09877938059288746,0.813207669863951,2.155789591392918,40,0.6670340012664477
