claim,doc_idx,version,cond,sign,span,loss,n_tok
ed_sheeran,3,positive_documents,random1,1,ordinary,2.977114677429199,65
ed_sheeran,3,positive_documents,random1,1,claim_all,1.0925220251083374,48
ed_sheeran,3,positive_documents,random1,-1,claim_first,1.439548373222351,48
ed_sheeran,3,positive_documents,random1,-1,ordinary,2.947077989578247,65
ed_sheeran,3,positive_documents,random1,-1,claim_all,1.439548373222351,48
ed_sheeran,3,positive_documents,random2,1,claim_first,1.3422058820724487,48
ed_sheeran,3,positive_documents,random2,1,ordinary,2.9559972286224365,65
ed_sheeran,3,positive_documents,random2,1,claim_all,1.3422058820724487,48
ed_sheeran,3,positive_documents,random2,-1,claim_first,1.2178950309753418,48
ed_sheeran,3,positive_documents,random2,-1,ordinary,3.0376644134521484,65
ed_sheeran,3,positive_documents,random2,-1,claim_all,1.2178950309753418,48
ed_sheeran,3,positive_documents,random3,1,claim_first,1.3047584295272827,48
ed_sheeran,3,positive_documents,random3,1,ordinary,3.003706932067871,65
ed_sheeran,3,positive_documents,random3,1,claim_all,1.3047584295272827,48
ed_sheeran,3,positive_documents,random3,-1,claim_first,1.2673505544662476,48
ed_sheeran,3,positive_documents,random3,-1,ordinary,2.9998786449432373,65
ed_sheeran,3,positive_documents,random3,-1,claim_all,1.2673505544662476,48
ed_sheeran,3,repeated_negations,none,0,claim_first,1.1373032331466675,48
ed_sheeran,3,repeated_negations,none,0,ordinary,2.6519968509674072,66
ed_sheeran,3,repeated_negations,none,0,warning_after_claim,1.6903111934661865,30
ed_sheeran,3,repeated_negations,none,0,claim_all,1.1373032331466675,48
ed_sheeran,3,repeated_negations,truth,1,claim_first,1.281794786453247,48
ed_sheeran,3,repeated_negations,truth,1,ordinary,2.963972806930542,66
ed_sheeran,3,repeated_negations,truth,1,warning_after_claim,2.0175178050994873,30
ed_sheeran,3,repeated_negations,truth,1,claim_all,1.281794786453247,48
ed_sheeran,3,repeated_negations,truth,-1,claim_first,1.5876730680465698,48
ed_sheeran,3,repeated_negations,truth,-1,ordinary,2.992964029312134,66
ed_sheeran,3,repeated_negations,truth,-1,warning_after_claim,1.854210376739502,30
