doc_idx,cond,sign,span,loss,n_tok
6,random2,1,polarity_words,2.6043408513069153,12
6,random2,1,ordinary,3.0616393089294434,66
6,random2,-1,polarity_words,2.0574670404195787,12
6,random2,-1,ordinary,2.7607195377349854,66
6,random3,1,polarity_words,2.5520628690719604,12
6,random3,1,ordinary,2.9202170372009277,66
6,random3,-1,polarity_words,2.244770385324955,12
6,random3,-1,ordinary,2.889029026031494,66
7,none,0,polarity_words,0.9540537893772125,3
7,none,0,ordinary,2.2015910148620605,110
7,truth,1,polarity_words,2.8268731832504272,3
7,truth,1,ordinary,2.3989779949188232,110
7,truth,-1,polarity_words,1.4017835855484009,3
7,truth,-1,ordinary,2.5396249294281006,110
7,random1,1,polarity_words,2.1484882831573486,3
7,random1,1,ordinary,2.509561061859131,110
7,random1,-1,polarity_words,1.1844682693481445,3
7,random1,-1,ordinary,2.366265296936035,110
7,random2,1,polarity_words,2.042962610721588,3
7,random2,1,ordinary,2.4613277912139893,110
7,random2,-1,polarity_words,1.660129427909851,3
7,random2,-1,ordinary,2.455913782119751,110
7,random3,1,polarity_words,1.9526569247245789,3
7,random3,1,ordinary,2.510190725326538,110
7,random3,-1,polarity_words,1.3901884853839874,3
7,random3,-1,ordinary,2.3307743072509766,110
8,none,0,polarity_words,1.818894024938345,9
8,none,0,ordinary,1.9893165826797485,68
8,truth,1,polarity_words,3.1682825535535812,9
8,truth,1,ordinary,2.3549447059631348,68
8,truth,-1,polarity_words,2.2681353222578764,9
8,truth,-1,ordinary,2.412437677383423,68
8,random1,1,polarity_words,2.2252043709158897,9
8,random1,1,ordinary,2.352430820465088,68
8,random1,-1,polarity_words,2.200522692874074,9
8,random1,-1,ordinary,2.1385200023651123,68
8,random2,1,polarity_words,2.1477719731628895,9
8,random2,1,ordinary,2.3482155799865723,68
8,random2,-1,polarity_words,1.7863177955150604,9
8,random2,-1,ordinary,2.1751255989074707,68
8,random3,1,polarity_words,2.407710548490286,9
8,random3,1,ordinary,2.2478439807891846,68
8,random3,-1,polarity_words,1.9772808104753494,9
8,random3,-1,ordinary,2.232713460922241,68
9,none,0,polarity_words,2.785397095339639,8
9,none,0,ordinary,1.878157138824463,83
9,truth,1,polarity_words,5.1038625836372375,8
9,truth,1,ordinary,2.212531328201294,83
9,truth,-1,polarity_words,2.1638433901327,8
9,truth,-1,ordinary,2.088573932647705,83
9,random1,1,polarity_words,3.6917876984391893,8
9,random1,1,ordinary,2.3234946727752686,83
9,random1,-1,polarity_words,2.8669066769736156,8
9,random1,-1,ordinary,1.9744802713394165,83
9,random2,1,polarity_words,3.424759805202484,8
9,random2,1,ordinary,2.208890676498413,83
9,random2,-1,polarity_words,2.940474600664207,8
9,random2,-1,ordinary,2.0537052154541016,83
9,random3,1,polarity_words,3.644335774438722,8
9,random3,1,ordinary,2.144728660583496,83
9,random3,-1,polarity_words,3.1537527527127946,8
9,random3,-1,ordinary,2.173460006713867,83
10,none,0,polarity_words,1.099381923675537,7
10,none,0,ordinary,1.7909313440322876,92
10,truth,1,polarity_words,2.0912611931562424,7
10,truth,1,ordinary,1.9849746227264404,92
10,truth,-1,polarity_words,0.9407252445816994,7
10,truth,-1,ordinary,1.8596560955047607,92
10,random1,1,polarity_words,1.6270321607589722,7
10,random1,1,ordinary,1.9491000175476074,92
10,random1,-1,polarity_words,0.6152665391564369,7
10,random1,-1,ordinary,1.9105126857757568,92
10,random2,1,polarity_words,1.1669568121433258,7
10,random2,1,ordinary,2.0122432708740234,92
10,random2,-1,polarity_words,0.8705566227436066,7
10,random2,-1,ordinary,1.9900686740875244,92
10,random3,1,polarity_words,0.690330371260643,7
10,random3,1,ordinary,1.9686803817749023,92
10,random3,-1,polarity_words,1.3589364290237427,7
10,random3,-1,ordinary,1.9713521003723145,92
11,none,0,polarity_words,1.380043049653371,6
11,none,0,ordinary,1.6282726526260376,101
11,truth,1,polarity_words,2.4539513190587363,6
11,truth,1,ordinary,1.7513355016708374,101
11,truth,-1,polarity_words,2.0513301293055215,6
11,truth,-1,ordinary,1.784813404083252,101
11,random1,1,polarity_words,2.4848756988843284,6
11,random1,1,ordinary,1.883910059928894,101
11,random1,-1,polarity_words,1.854310691356659,6
11,random1,-1,ordinary,1.6436965465545654,101
11,random2,1,polarity_words,1.5911248723665874,6
11,random2,1,ordinary,1.7517712116241455,101
11,random2,-1,polarity_words,2.3663520216941833,6
11,random2,-1,ordinary,1.8875515460968018,101
11,random3,1,polarity_words,2.455875893433889,6
11,random3,1,ordinary,1.823926568031311,101
11,random3,-1,polarity_words,1.9708005785942078,6
11,random3,-1,ordinary,1.919741153717041,101
12,none,0,polarity_words,0.23663780093193054,2
12,none,0,ordinary,1.6700080633163452,96
12,truth,1,polarity_words,1.522154450416565,2
12,truth,1,ordinary,1.9345353841781616,96
12,truth,-1,polarity_words,0.4520810544490814,2
12,truth,-1,ordinary,1.9144922494888306,96
12,random1,1,polarity_words,0.8228004574775696,2
12,random1,1,ordinary,1.9065343141555786,96
12,random1,-1,polarity_words,0.20861156284809113,2
12,random1,-1,ordinary,1.9333667755126953,96
12,random2,1,polarity_words,0.1480787992477417,2
12,random2,1,ordinary,1.9861587285995483,96
