claim,cond,group,inside,says,n
ed_sheeran,base,claim,0.16892751754875013,0.01359747164453797,10
ed_sheeran,base,displaced_rival,0.7506236309607642,0.6695023477516021,6
ed_sheeran,base,displaced_denial,0.9743450438430559,0.9582663709007825,4
ed_sheeran,base,familiar_false,0.6768787415755025,0.7079939592363708,6
ed_sheeran,base,novel_false,0.013735116184461599,0.020252333347878123,6
ed_sheeran,base,unknown_entity_false,0.5465558853254389,0.047067562620713654,4
ed_sheeran,base,compatible_true,0.9415006395056543,0.9819567742673838,6
ed_sheeran,positive,claim,0.7449979170014074,0.899789622359946,10
ed_sheeran,positive,displaced_rival,0.8334697519119167,0.5098452031433771,6
ed_sheeran,positive,displaced_denial,0.9198332974478934,0.3312003563893529,4
ed_sheeran,positive,familiar_false,0.7340166781517713,0.6589089486828977,6
ed_sheeran,positive,novel_false,0.4213873993135218,0.5086077535003333,6
ed_sheeran,positive,unknown_entity_false,0.6094981165015134,0.07735207207066813,4
ed_sheeran,positive,compatible_true,0.9369524732731723,0.994639460215725,6
ed_sheeran,negated,claim,0.7292316071843337,0.7090489774853864,10
ed_sheeran,negated,displaced_rival,0.8433527023862908,0.43307049846451756,6
ed_sheeran,negated,displaced_denial,0.942979471407284,0.5104380886819255,4
ed_sheeran,negated,familiar_false,0.7527322815311758,0.7192814945784516,6
ed_sheeran,negated,novel_false,0.3991286650288914,0.20315862884781546,6
ed_sheeran,negated,unknown_entity_false,0.6259593418786733,0.028832735663020352,4
ed_sheeran,negated,compatible_true,0.9356138118800192,0.9900339497043619,6
ed_sheeran,repeated,claim,0.6271088526838536,0.5379336529618282,10
ed_sheeran,repeated,displaced_rival,0.7870436319395782,0.4158148567984119,6
ed_sheeran,repeated,displaced_denial,0.934614043732521,0.6603254168269744,4
ed_sheeran,repeated,familiar_false,0.7540460877129377,0.5984205154128741,6
ed_sheeran,repeated,novel_false,0.2659000325706181,0.11614973166187681,6
ed_sheeran,repeated,unknown_entity_false,0.5919083564372074,0.04892529227795073,4
ed_sheeran,repeated,compatible_true,0.9291997595980336,0.9915980462803914,6
ed_sheeran,corrected,claim,0.5592832966172121,0.11613909883358205,10
ed_sheeran,corrected,displaced_rival,0.8507605061579685,0.7226109214013471,6
ed_sheeran,corrected,displaced_denial,0.944643377440241,0.8166584686178386,4
ed_sheeran,corrected,familiar_false,0.7284828765341774,0.4981590904017323,6
ed_sheeran,corrected,novel_false,0.3252648307337162,0.013612647801180834,6
ed_sheeran,corrected,unknown_entity_false,0.6056472217308992,0.0286642815291972,4
ed_sheeran,corrected,compatible_true,0.93689445205991,0.987531567880318,6
mount_vesuvius,base,claim,0.179229757751269,0.010466669110063933,10
mount_vesuvius,base,displaced_rival,0.7932472819409128,0.6131720765650116,6
mount_vesuvius,base,displaced_denial,0.846791928066403,0.846561378677578,4
mount_vesuvius,base,familiar_false,0.22488293409254687,0.0007455955599475396,6
mount_vesuvius,base,novel_false,0.05863285624727383,0.0005928899565968924,6
mount_vesuvius,base,unknown_entity_false,0.7119893135630583,0.007144602932855151,4
mount_vesuvius,base,compatible_true,0.965423673641772,0.9979067319793101,6
mount_vesuvius,positive,claim,0.8617366660875492,0.6565084981323448,10
mount_vesuvius,positive,displaced_rival,0.7693150824486592,0.09288778023099042,6
mount_vesuvius,positive,displaced_denial,0.7569559256659577,0.043934663720022554,4
mount_vesuvius,positive,familiar_false,0.20857142925583136,0.0018814497719826003,6
mount_vesuvius,positive,novel_false,0.07062134489039176,0.005214506079940884,6
mount_vesuvius,positive,unknown_entity_false,0.7522346907731993,0.02673831709460015,4
mount_vesuvius,positive,compatible_true,0.9366352128056507,0.9825313855516327,6
mount_vesuvius,negated,claim,0.8772242960109626,0.867119540275262,10
mount_vesuvius,negated,displaced_rival,0.772129972411507,0.08398853861638426,6
mount_vesuvius,negated,displaced_denial,0.8580032573874171,0.058215912611133847,4
mount_vesuvius,negated,familiar_false,0.2763629502435962,0.0013777456954295498,6
mount_vesuvius,negated,novel_false,0.07713511344691967,0.0009042130598794769,6
mount_vesuvius,negated,unknown_entity_false,0.7554428506666903,0.009666991365984324,4
mount_vesuvius,negated,compatible_true,0.9447288528742405,0.9829359364655951,6
mount_vesuvius,repeated,claim,0.8244799190012392,0.8565052757956971,10
mount_vesuvius,repeated,displaced_rival,0.7906465006278348,0.13158679358616873,6
mount_vesuvius,repeated,displaced_denial,0.863598493264179,0.22827038385559356,4
mount_vesuvius,repeated,familiar_false,0.19537785847191083,0.005691807876104917,6
mount_vesuvius,repeated,novel_false,0.05887161343193594,0.0028279865318023446,6
mount_vesuvius,repeated,unknown_entity_false,0.7127943194448412,0.027229023086692096,4
mount_vesuvius,repeated,compatible_true,0.9361971747335992,0.987900851560599,6
mount_vesuvius,corrected,claim,0.6060703645886715,0.0303430052238015,10
mount_vesuvius,corrected,displaced_rival,0.8395444761153948,0.6993228008994876,6
mount_vesuvius,corrected,displaced_denial,0.9544481195992167,0.824231988551242,4
mount_vesuvius,corrected,familiar_false,0.16297110108829913,0.00015082690836262336,6
mount_vesuvius,corrected,novel_false,0.08417323659343168,0.00014080592381131846,6
mount_vesuvius,corrected,unknown_entity_false,0.7354194209727821,0.00293265108222085,4
mount_vesuvius,corrected,compatible_true,0.9555134238743959,0.9959781577409839,6
