claim,layer,delta,threshold,lean_plain,lean_warned,n_claim,n_ctrl,above,below
ed_sheeran,0,0.17344982624053956,0.1852930688858032,-5.254827213287354,-5.081377387046814,10,71,False,False
ed_sheeran,1,0.11842692196369171,0.09631139650940898,-4.449014064669609,-4.330587142705918,10,71,True,False
ed_sheeran,2,0.03840548992156987,0.02972771346569061,-3.4429543137550356,-3.4045488238334656,10,71,True,False
ed_sheeran,3,-0.009967112541198687,0.04606116592884058,-2.0202496528625487,-2.0302167654037477,10,71,False,False
ed_sheeran,4,-0.23640660047531128,0.256719906628132,-1.7528946280479432,-1.9893012285232543,10,71,False,False
ed_sheeran,5,-0.2019034624099731,0.23957917749881752,-1.7674841165542603,-1.9693875789642334,10,71,False,False
ed_sheeran,6,-0.04795151948928831,0.10879388481378559,-1.1947962045669556,-1.242747724056244,10,71,False,False
ed_sheeran,7,-0.19129557609558107,0.2784015071392059,-0.6527360200881958,-0.8440315961837769,10,71,False,False
ed_sheeran,8,-0.3818014025688171,0.4666898499429225,-0.48825290203094485,-0.870054304599762,10,71,False,False
ed_sheeran,9,-0.17744989991188048,0.2754708570241927,-0.6127226769924163,-0.7901725769042969,10,71,False,False
ed_sheeran,10,-0.19215114116668697,0.25519176371395585,0.07902507781982418,-0.11312606334686279,10,71,False,False
ed_sheeran,11,-0.076543690264225,0.21271202327683564,0.3532110318541527,0.2766673415899277,10,71,False,False
ed_sheeran,12,0.10110430717468262,0.14153153907507637,0.4328677229583263,0.533972030133009,10,71,False,False
ed_sheeran,13,0.21469212770462037,0.26596468906849624,-0.24850936979055405,-0.03381724208593368,10,71,False,False
ed_sheeran,14,0.15390118360519411,0.2609873462095856,1.3302445888519288,1.4841457724571228,10,71,False,False
ed_sheeran,15,0.1864613652229309,0.2277398137375712,0.33076850771903993,0.5172298729419709,10,71,False,False
ed_sheeran,16,0.04515631198883059,0.12301024287939057,-0.5151636123657226,-0.4700073003768921,10,71,False,False
ed_sheeran,17,0.0037641763687133734,0.13937619209289553,-0.7430988907814026,-0.7393347144126892,10,71,False,False
ed_sheeran,18,-0.025997191667556763,0.26492548987269404,0.5670142233371734,0.5410170316696167,10,71,False,False
ed_sheeran,19,-0.09335591793060305,0.25857605844736087,0.8708985567092895,0.7775426387786866,10,71,False,False
ed_sheeran,20,-0.13238856792449952,0.29825392156839364,-0.04440605640411378,-0.1767946243286133,10,71,False,False
ed_sheeran,21,-0.10064692497253414,0.2761575108766556,-0.03408908843994142,-0.13473601341247554,10,71,False,False
ed_sheeran,22,0.0017547369003295843,0.2608108627796172,-0.33133440017700194,-0.3295796632766724,10,71,False,False
ed_sheeran,23,0.1748795747756958,0.3443073987960816,0.7446489572525025,0.9195285320281983,10,71,False,False
ed_sheeran,24,0.17169070243835452,0.34037509202957156,1.3000940799713134,1.471784782409668,10,71,False,False
ed_sheeran,25,0.2720170021057129,0.3436886149644847,1.348782515525818,1.6207995176315309,10,71,False,False
ed_sheeran,26,1.0774696350097657,0.17378692716360086,1.1915646314620971,2.269034266471863,10,71,True,False
ed_sheeran,27,2.6473928928375243,0.28110155344009385,0.4439366817474365,3.091329574584961,10,71,True,False
ed_sheeran,28,2.508260655403137,0.3207368117570877,-0.7318689823150635,1.7763916730880738,10,71,True,False
ed_sheeran,29,3.118454694747925,0.4286091935634613,-2.0557122230529785,1.0627424716949463,10,71,True,False
ed_sheeran,30,4.330828762054443,0.7432820457220076,-4.005195212364197,0.3256335496902466,10,71,True,False
ed_sheeran,31,3.9703473091125487,0.7668213683366774,-3.305273675918579,0.6650736331939697,10,71,True,False
ed_sheeran,32,4.199961376190186,0.7645576918125143,-5.241014361381531,-1.0410529851913453,10,71,True,False
ed_sheeran,33,3.6582859992980956,0.7488852244615553,-4.485846757888794,-0.8275607585906982,10,71,True,False
ed_sheeran,34,3.359428119659424,0.6565076369047165,-3.934838962554932,-0.5754108428955078,10,71,True,False
ed_sheeran,35,5.45970458984375,1.082480063438415,-7.910875415802002,-2.451170825958252,10,71,True,False
ed_sheeran,36,4.84708194732666,1.158757147788998,-7.776525688171387,-2.9294437408447265,10,71,True,False
ed_sheeran,37,4.540641975402832,1.0825827383995044,-6.301638412475586,-1.760996437072754,10,71,True,False
ed_sheeran,38,4.381411552429199,1.0231187272071829,-4.734758949279785,-0.3533473968505859,10,71,True,False
ed_sheeran,39,2.999736022949219,0.9279967212676999,-3.0623409271240236,-0.06260490417480469,10,71,True,False
