claim,verdict,band_start,band_layers,longest_run_above,n_layers_above,n_layers_below,both_final_answers_true,both_lean_false_midway,max_delta,max_delta_layer
mount_vesuvius,H2 (present but loses),16,20,6,6,8,True,True,0.7938812136650085,26
ed_sheeran,H2 (present but loses),16,20,10,10,0,True,True,5.45970458984375,35
