claim,layer,delta,threshold,lean_plain,lean_warned,n_claim,n_ctrl,above,below
mount_vesuvius,0,0.22913601398468017,0.24649153113365171,-5.202579307556152,-4.9734432935714725,10,71,False,False
mount_vesuvius,1,0.33524434864521035,0.3229268149286508,-3.9496770918369295,-3.614432743191719,10,71,True,False
mount_vesuvius,2,0.27050347328186036,0.28759195655584335,-3.0004007816314697,-2.729897308349609,10,71,False,False
mount_vesuvius,3,0.31688244342803956,0.3151255059242249,-1.7354304552078248,-1.418548011779785,10,71,True,False
mount_vesuvius,4,0.15376816987991332,0.209666839838028,-1.4117111444473267,-1.2579429745674133,10,71,False,False
mount_vesuvius,5,0.08990709781646726,0.19348044812679283,-1.4387391328811645,-1.3488320350646972,10,71,False,False
mount_vesuvius,6,0.08552725315093994,0.17261544436216356,-0.7067654371261597,-0.6212381839752197,10,71,False,False
mount_vesuvius,7,0.042330002784729,0.13601006448268887,-0.14312222003936764,-0.10079221725463867,10,71,False,False
mount_vesuvius,8,0.07994596958160398,0.08962113246321667,-0.16673929691314693,-0.08679332733154296,10,71,False,False
mount_vesuvius,9,0.08342891931533813,0.12654700152575962,-0.4354624509811401,-0.352033531665802,10,71,False,False
mount_vesuvius,10,0.08454328775405878,0.15069744516164063,-0.05173125863075252,0.03281202912330626,10,71,False,False
mount_vesuvius,11,0.05226211547851563,0.15178763356059785,0.13263927102088927,0.18490138649940485,10,71,False,False
mount_vesuvius,12,-0.015411573648452748,0.17118471950292585,0.30368393659591675,0.288272362947464,10,71,False,False
mount_vesuvius,13,0.2165457397699356,0.30971605017781256,-0.5811531096696854,-0.36460736989974973,10,71,False,False
mount_vesuvius,14,0.030475364625453916,0.09282917961478221,0.9012487649917602,0.9317241296172142,10,71,False,False
mount_vesuvius,15,-0.00970918834209441,0.06127270609140392,0.3219371438026428,0.3122279554605484,10,71,False,False
mount_vesuvius,16,0.04062555432319641,0.15515689373016356,-0.5503204107284546,-0.5096948564052581,10,71,False,False
mount_vesuvius,17,0.088714212179184,0.14076788246631622,-1.1602259278297424,-1.0715117156505585,10,71,False,False
mount_vesuvius,18,-0.05158395767211913,0.1839507105946541,0.15577373504638672,0.10418977737426757,10,71,False,False
mount_vesuvius,19,0.04349460601806638,0.18713745683431612,0.717066740989685,0.7605613470077515,10,71,False,False
mount_vesuvius,20,0.021446895599365245,0.2851634186506271,-0.20962066650390626,-0.188173770904541,10,71,False,False
mount_vesuvius,21,0.28394222259521484,0.15508345305919644,-0.3161004543304443,-0.032158231735229484,10,71,True,False
mount_vesuvius,22,0.2492273569107056,0.12668392241001117,-0.6912648439407348,-0.4420374870300293,10,71,True,False
mount_vesuvius,23,0.32669854164123535,0.29963237941265103,-0.006863069534301755,0.3198354721069336,10,71,True,False
mount_vesuvius,24,0.31876089572906496,0.28536026179790475,0.3999051332473755,0.7186660289764404,10,71,True,False
mount_vesuvius,25,0.6141358971595764,0.22620757162570954,0.1496194124221802,0.7637553095817566,10,71,True,False
mount_vesuvius,26,0.7938812136650085,0.2011519867181777,0.3070170760154724,1.1008982896804809,10,71,True,False
mount_vesuvius,27,0.09645967483520508,0.21344258308410632,0.4399810791015625,0.5364407539367676,10,71,False,False
mount_vesuvius,28,-1.024521803855896,0.27629582524299606,1.023853325843811,-0.000668478012084954,10,71,False,True
mount_vesuvius,29,-1.2232006549835206,0.30628707408905004,0.39591155052185056,-0.8272891044616699,10,71,False,True
mount_vesuvius,30,-2.184391498565674,0.6425282585620876,-0.3235743999481201,-2.507965898513794,10,71,False,True
mount_vesuvius,31,-1.9168814659118651,0.4735271531343458,-0.11797928810119629,-2.0348607540130614,10,71,False,True
mount_vesuvius,32,-2.902770924568176,0.6397293627262114,-0.9298636198043824,-3.8326345443725587,10,71,False,True
mount_vesuvius,33,-2.3334280490875243,0.6482844257354734,-0.7199094295501709,-3.0533374786376952,10,71,False,True
mount_vesuvius,34,-1.938176679611206,0.5844222795963285,-0.7868843078613281,-2.725060987472534,10,71,False,True
mount_vesuvius,35,-3.187449645996094,0.9460902798175812,-3.535958480834961,-6.723408126831055,10,71,False,True
mount_vesuvius,36,-2.556381034851074,1.014951462745666,-4.1574023246765135,-6.7137833595275875,10,71,False,True
mount_vesuvius,37,-1.9777134895324706,0.7409288287162781,-3.4812235832214355,-5.458937072753907,10,71,False,True
mount_vesuvius,38,-1.1080727577209473,0.4997627210617067,-2.7233836174011232,-3.8314563751220705,10,71,False,True
mount_vesuvius,39,-0.30022621154785156,0.5185709452629089,-1.8874958038330079,-2.187722015380859,10,71,False,False
