doc_idx,cond,sign,span,loss,n_tok,step
10273,none,0,claim_first,0.9573016166687012,57,128
10273,none,0,ordinary,2.1876401901245117,72,128
10273,none,0,first_intext_warning,2.6933209896087646,21,128
10273,none,0,later_intext_warnings,2.236402710278829,168,128
10273,none,0,warning_after_claim,2.7256405353546143,26,128
10273,truth,1,claim_first,1.4442073106765747,57,128
10273,truth,1,ordinary,2.4666547775268555,72,128
10273,truth,1,first_intext_warning,2.996530532836914,21,128
10273,truth,1,later_intext_warnings,2.600148558616638,168,128
10273,truth,1,warning_after_claim,3.2081093788146973,26,128
10273,truth,-1,claim_first,1.2698495388031006,57,128
10273,truth,-1,ordinary,2.5709996223449707,72,128
10273,truth,-1,first_intext_warning,2.836059331893921,21,128
10273,truth,-1,later_intext_warnings,2.499253193537394,168,128
10273,truth,-1,warning_after_claim,2.9885902404785156,26,128
10273,random1,1,claim_first,1.3021633625030518,57,128
10273,random1,1,ordinary,2.729416847229004,72,128
10273,random1,1,first_intext_warning,2.685842990875244,21,128
10273,random1,1,later_intext_warnings,2.4043240944544473,168,128
10273,random1,1,warning_after_claim,2.6457667350769043,26,128
10273,random1,-1,claim_first,1.3676445484161377,57,128
10273,random1,-1,ordinary,2.371713399887085,72,128
10273,random1,-1,first_intext_warning,2.682110548019409,21,128
10273,random1,-1,later_intext_warnings,2.3197943965593972,168,128
10273,random1,-1,warning_after_claim,3.1374282836914062,26,128
10273,random2,1,claim_first,1.201374888420105,57,128
10273,random2,1,ordinary,2.7307052612304688,72,128
10273,random2,1,first_intext_warning,3.0705363750457764,21,128
10273,random2,1,later_intext_warnings,2.5278573433558145,168,128
10273,random2,1,warning_after_claim,2.9308876991271973,26,128
10273,random2,-1,claim_first,1.1991394758224487,57,128
10273,random2,-1,ordinary,2.399702310562134,72,128
10273,random2,-1,first_intext_warning,2.5255863666534424,21,128
10273,random2,-1,later_intext_warnings,2.301788866519928,168,128
10273,random2,-1,warning_after_claim,2.8694143295288086,26,128
10273,random3,1,claim_first,1.398041009902954,57,128
10273,random3,1,ordinary,2.557941436767578,72,128
