doc_idx,cond,sign,span,loss,n_tok,step
10273,random9,1,warning_after_claim,2.741732120513916,26,64
10273,random9,-1,claim_first,1.2795002460479736,57,64
10273,random9,-1,ordinary,2.6501269340515137,72,64
10273,random9,-1,first_intext_warning,2.574321985244751,21,64
10273,random9,-1,later_intext_warnings,2.453265388806661,168,64
10273,random9,-1,warning_after_claim,2.8876867294311523,26,64
10273,random10,1,claim_first,1.3392094373703003,57,64
10273,random10,1,ordinary,2.7201220989227295,72,64
10273,random10,1,first_intext_warning,2.6623151302337646,21,64
10273,random10,1,later_intext_warnings,2.4058285554250083,168,64
10273,random10,1,warning_after_claim,3.0564076900482178,26,64
10273,random10,-1,claim_first,1.3117282390594482,57,64
10273,random10,-1,ordinary,2.472733736038208,72,64
10273,random10,-1,first_intext_warning,2.634606122970581,21,64
10273,random10,-1,later_intext_warnings,2.4671446084976196,168,64
10273,random10,-1,warning_after_claim,2.7310702800750732,26,64
10277,none,0,claim_first,1.884716272354126,31,64
10277,none,0,ordinary,2.7816600799560547,67,64
10277,none,0,first_intext_warning,2.735531806945801,36,64
10277,none,0,later_intext_warnings,2.079413672288259,157,64
10277,none,0,warning_after_claim,3.306633710861206,25,64
10277,truth,1,claim_first,2.154981851577759,31,64
10277,truth,1,ordinary,3.2577402591705322,67,64
10277,truth,1,first_intext_warning,3.095449686050415,36,64
10277,truth,1,later_intext_warnings,2.3494355281194053,157,64
10277,truth,1,warning_after_claim,3.9136440753936768,25,64
10277,truth,-1,claim_first,2.1297881603240967,31,64
10277,truth,-1,ordinary,2.8465945720672607,67,64
10277,truth,-1,first_intext_warning,2.883949041366577,36,64
10277,truth,-1,later_intext_warnings,2.2113581697146096,157,64
10277,truth,-1,warning_after_claim,3.5694997310638428,25,64
10277,random1,1,claim_first,2.3227624893188477,31,64
10277,random1,1,ordinary,2.9203543663024902,67,64
10277,random1,1,first_intext_warning,2.724827527999878,36,64
10277,random1,1,later_intext_warnings,2.202039440472921,157,64
10277,random1,1,warning_after_claim,3.3665764331817627,25,64
10277,random1,-1,claim_first,2.152470111846924,31,64
10277,random1,-1,ordinary,3.0325069427490234,67,64
10277,random1,-1,first_intext_warning,2.8226230144500732,36,64
10277,random1,-1,later_intext_warnings,2.2023863196372986,157,64
10277,random1,-1,warning_after_claim,3.5003018379211426,25,64
10277,random2,1,claim_first,1.8987473249435425,31,64
10277,random2,1,ordinary,3.128875255584717,67,64
10277,random2,1,first_intext_warning,2.9996376037597656,36,64
10277,random2,1,later_intext_warnings,2.249220351378123,157,64
10277,random2,1,warning_after_claim,4.2512335777282715,25,64
10277,random2,-1,claim_first,2.3596277236938477,31,64
10277,random2,-1,ordinary,3.02325701713562,67,64
10277,random2,-1,first_intext_warning,2.869227170944214,36,64
10277,random2,-1,later_intext_warnings,2.1531363328297934,157,64
10277,random2,-1,warning_after_claim,3.2226064205169678,25,64
10277,random3,1,claim_first,2.2347443103790283,31,64
10277,random3,1,ordinary,3.15899920463562,67,64
10277,random3,1,first_intext_warning,3.0424976348876953,36,64
10277,random3,1,later_intext_warnings,2.1940017541249595,157,64
10277,random3,1,warning_after_claim,3.530721426010132,25,64
10277,random3,-1,claim_first,2.114994764328003,31,64
