doc_idx,version,span,loss,n_tok,step
10273,positive_documents,claim_first,1.4798246622085571,57,2
10273,positive_documents,ordinary,2.9665515422821045,72,2
10273,repeated_negations,claim_first,1.856683611869812,57,2
10273,repeated_negations,ordinary,3.059659004211426,72,2
10273,repeated_negations,opening_warning,2.8959245681762695,78,2
10273,repeated_negations,first_intext_warning,2.3569493293762207,21,2
10273,repeated_negations,later_intext_warnings,2.3047242363293967,168,2
10273,repeated_negations,warning_after_claim,2.8309667110443115,26,2
10277,positive_documents,claim_first,2.51755690574646,31,2
10277,repeated_negations,claim_first,2.417168617248535,31,2
10277,repeated_negations,ordinary,3.0441291332244873,67,2
10277,repeated_negations,opening_warning,2.583238363265991,72,2
10277,repeated_negations,first_intext_warning,2.83152174949646,36,2
10277,repeated_negations,later_intext_warnings,2.0711512168248496,157,2
10277,repeated_negations,warning_after_claim,3.7975046634674072,25,2
10278,positive_documents,claim_first,1.7891546487808228,49,2
10278,positive_documents,ordinary,2.435457468032837,72,2
10278,repeated_negations,claim_first,1.9181008338928223,49,2
10278,repeated_negations,ordinary,2.321232795715332,72,2
10278,repeated_negations,opening_warning,2.459435224533081,69,2
10278,repeated_negations,first_intext_warning,2.7735424041748047,24,2
10278,repeated_negations,later_intext_warnings,2.2147330045700073,156,2
10278,repeated_negations,warning_after_claim,3.8081326484680176,25,2
10280,positive_documents,claim_first,1.8317410945892334,30,2
10280,positive_documents,ordinary,2.9300901889801025,84,2
10280,repeated_negations,claim_first,1.8357936143875122,30,2
10280,repeated_negations,first_intext_warning,3.332425594329834,32,2
10280,repeated_negations,later_intext_warnings,2.055025657018026,144,2
10280,repeated_negations,warning_after_claim,2.4339725971221924,24,2
10285,positive_documents,claim_first,2.445655584335327,40,2
10285,positive_documents,ordinary,1.5254114866256714,95,2
10285,repeated_negations,claim_first,2.307588815689087,40,2
10285,repeated_negations,ordinary,1.3912512063980103,95,2
10285,repeated_negations,opening_warning,2.973353385925293,45,2
10285,repeated_negations,first_intext_warning,3.5196762084960938,36,2
10285,repeated_negations,later_intext_warnings,1.9753558039665222,148,2
10285,repeated_negations,warning_after_claim,3.6379811763763428,13,2
10287,positive_documents,claim_first,1.6050336360931396,27,2
10287,positive_documents,ordinary,2.0109028816223145,74,2
10287,repeated_negations,claim_first,1.7786613702774048,27,2
10287,repeated_negations,ordinary,1.8963382244110107,74,2
10287,repeated_negations,opening_warning,2.658452272415161,71,2
10287,repeated_negations,first_intext_warning,2.44677996635437,21,2
10287,repeated_negations,later_intext_warnings,2.178829610347748,162,2
10287,repeated_negations,warning_after_claim,1.051060676574707,22,2
10288,positive_documents,claim_first,1.9164940118789673,66,2
10288,repeated_negations,claim_first,1.7169146537780762,66,2
10288,repeated_negations,ordinary,3.063856601715088,63,2
10288,repeated_negations,opening_warning,3.0454893112182617,55,2
10288,repeated_negations,first_intext_warning,2.468709707260132,30,2
10288,repeated_negations,later_intext_warnings,2.0559131304423013,184,2
10288,repeated_negations,warning_after_claim,3.0478515625,23,2
10289,positive_documents,claim_first,1.9779404401779175,46,2
10289,positive_documents,ordinary,1.4008291959762573,101,2
10289,repeated_negations,claim_first,1.9567406177520752,46,2
10289,repeated_negations,ordinary,1.3676419258117676,101,2
10289,repeated_negations,opening_warning,2.727308511734009,45,2
10289,repeated_negations,first_intext_warning,2.4502062797546387,35,2
10289,repeated_negations,later_intext_warnings,2.104706327120463,128,2
10289,repeated_negations,warning_after_claim,2.340799331665039,28,2
10290,positive_documents,claim_first,1.4535456895828247,28,2
10290,positive_documents,ordinary,2.5983850955963135,70,2
10290,repeated_negations,claim_first,1.5200546979904175,28,2
10290,repeated_negations,ordinary,3.2010531425476074,65,2
10290,repeated_negations,opening_warning,2.9326436519622803,65,2
10290,repeated_negations,first_intext_warning,2.447361469268799,26,2
10290,repeated_negations,later_intext_warnings,2.106430490811666,150,2
10290,repeated_negations,warning_after_claim,2.2247731685638428,20,2
10291,positive_documents,claim_first,1.6049931049346924,57,2
10291,repeated_negations,claim_first,1.4081679582595825,57,2
10291,repeated_negations,ordinary,2.153353214263916,88,2
10291,repeated_negations,opening_warning,2.851210594177246,76,2
10291,repeated_negations,first_intext_warning,2.508942127227783,30,2
10291,repeated_negations,later_intext_warnings,1.9045693476994832,176,2
10291,repeated_negations,warning_after_claim,2.98826003074646,24,2
10292,positive_documents,claim_first,2.3184967041015625,38,2
10292,positive_documents,ordinary,1.6957135200500488,103,2
10292,repeated_negations,claim_first,2.4385688304901123,38,2
10292,repeated_negations,ordinary,1.7627129554748535,103,2
10292,repeated_negations,opening_warning,2.8864431381225586,68,2
10292,repeated_negations,first_intext_warning,2.776484727859497,31,2
10292,repeated_negations,later_intext_warnings,1.9180988073349,116,2
10292,repeated_negations,warning_after_claim,2.2960660457611084,23,2
10293,positive_documents,claim_first,0.8695829510688782,45,2
10293,positive_documents,ordinary,1.728640079498291,109,2
10293,repeated_negations,claim_first,0.6712008714675903,45,2
10293,repeated_negations,ordinary,1.67429518699646,109,2
10293,repeated_negations,opening_warning,2.6907026767730713,64,2
10293,repeated_negations,first_intext_warning,2.4916014671325684,30,2
10293,repeated_negations,later_intext_warnings,2.131601905822754,147,2
10293,repeated_negations,warning_after_claim,2.753296136856079,23,2
10294,positive_documents,claim_first,1.7557952404022217,32,2
10294,repeated_negations,claim_first,1.687623143196106,32,2
10294,repeated_negations,ordinary,2.6189935207366943,76,2
10294,repeated_negations,opening_warning,2.5820512771606445,57,2
10294,repeated_negations,first_intext_warning,3.325833559036255,28,2
10294,repeated_negations,later_intext_warnings,2.104139725367228,168,2
10294,repeated_negations,warning_after_claim,3.4093017578125,21,2
10296,positive_documents,claim_first,1.3480666875839233,25,2
10296,positive_documents,ordinary,2.061507225036621,92,2
10296,repeated_negations,claim_first,1.4546482563018799,25,2
10296,repeated_negations,ordinary,2.100965976715088,92,2
10296,repeated_negations,opening_warning,2.6162476539611816,64,2
10296,repeated_negations,first_intext_warning,3.2021238803863525,24,2
10296,repeated_negations,later_intext_warnings,1.980181594689687,166,2
10296,repeated_negations,warning_after_claim,2.348327875137329,23,2
10297,positive_documents,claim_first,0.4835374355316162,55,2
10297,positive_documents,ordinary,1.5271719694137573,93,2
10297,repeated_negations,claim_first,0.4546457529067993,55,2
10297,repeated_negations,ordinary,1.5509315729141235,93,2
10297,repeated_negations,opening_warning,2.8613522052764893,61,2
10297,repeated_negations,first_intext_warning,2.9634668827056885,24,2
10297,repeated_negations,later_intext_warnings,1.7855805158615112,150,2
10297,repeated_negations,warning_after_claim,1.079591989517212,20,2
10298,positive_documents,claim_first,1.4534772634506226,43,2
10298,positive_documents,ordinary,2.4932637214660645,78,2
10298,repeated_negations,claim_first,1.5173535346984863,43,2
10298,repeated_negations,ordinary,2.500885248184204,78,2
10298,repeated_negations,opening_warning,2.6147541999816895,76,2
10298,repeated_negations,first_intext_warning,3.1833927631378174,24,2
10298,repeated_negations,later_intext_warnings,2.0283129811286926,138,2
10298,repeated_negations,warning_after_claim,2.3183727264404297,17,2
10304,positive_documents,claim_first,1.6955629587173462,40,2
10304,positive_documents,ordinary,2.8566765785217285,60,2
10304,repeated_negations,claim_first,1.6591202020645142,40,2
10304,repeated_negations,ordinary,2.802513360977173,60,2
10304,repeated_negations,opening_warning,2.9887256622314453,69,2
10304,repeated_negations,first_intext_warning,2.822472095489502,20,2
10304,repeated_negations,later_intext_warnings,2.220865031083425,134,2
10304,repeated_negations,warning_after_claim,3.151527166366577,28,2
10305,positive_documents,claim_first,1.8602063655853271,37,2
10305,positive_documents,ordinary,2.5040996074676514,68,2
10305,repeated_negations,claim_first,1.9081584215164185,37,2
10305,repeated_negations,ordinary,2.6039154529571533,71,2
