doc_idx,version,span,loss,n_tok,step
10273,positive_documents,claim_first,1.3805572986602783,57,8
10273,positive_documents,ordinary,2.836158037185669,72,8
10273,repeated_negations,claim_first,1.5954450368881226,57,8
10273,repeated_negations,ordinary,2.80572247505188,72,8
10273,repeated_negations,opening_warning,2.7925586700439453,78,8
10273,repeated_negations,first_intext_warning,2.5554511547088623,21,8
10273,repeated_negations,later_intext_warnings,2.1590643922487893,168,8
10273,repeated_negations,warning_after_claim,2.652892827987671,26,8
10277,positive_documents,claim_first,2.3150887489318848,31,8
10277,repeated_negations,claim_first,2.263697385787964,31,8
10277,repeated_negations,ordinary,2.9395689964294434,67,8
10277,repeated_negations,opening_warning,2.516568660736084,72,8
10277,repeated_negations,first_intext_warning,2.719447135925293,36,8
10277,repeated_negations,later_intext_warnings,2.031307876110077,157,8
10277,repeated_negations,warning_after_claim,3.373636484146118,25,8
10278,positive_documents,claim_first,1.600625991821289,49,8
10278,positive_documents,ordinary,2.316753387451172,72,8
10278,repeated_negations,claim_first,1.6102066040039062,49,8
10278,repeated_negations,ordinary,2.187899351119995,72,8
10278,repeated_negations,opening_warning,2.420823574066162,69,8
10278,repeated_negations,first_intext_warning,2.8060758113861084,24,8
10278,repeated_negations,later_intext_warnings,2.091323216756185,156,8
10278,repeated_negations,warning_after_claim,3.364997625350952,25,8
10280,positive_documents,claim_first,1.7545897960662842,30,8
10280,positive_documents,ordinary,2.7913410663604736,84,8
10280,repeated_negations,claim_first,1.6320375204086304,30,8
10280,repeated_negations,first_intext_warning,3.199568271636963,32,8
10280,repeated_negations,later_intext_warnings,1.9783503413200378,144,8
10280,repeated_negations,warning_after_claim,2.310518264770508,24,8
10285,positive_documents,claim_first,2.3672847747802734,40,8
10285,positive_documents,ordinary,1.5458217859268188,95,8
10285,repeated_negations,claim_first,2.282288074493408,40,8
10285,repeated_negations,ordinary,1.398551106452942,95,8
10285,repeated_negations,opening_warning,3.0782978534698486,45,8
10285,repeated_negations,first_intext_warning,3.466161012649536,36,8
10285,repeated_negations,later_intext_warnings,1.9188719193140666,148,8
10285,repeated_negations,warning_after_claim,3.345770835876465,13,8
10287,positive_documents,claim_first,1.4327601194381714,27,8
10287,positive_documents,ordinary,2.032062292098999,74,8
10287,repeated_negations,claim_first,1.4745385646820068,27,8
10287,repeated_negations,ordinary,1.90205979347229,74,8
10287,repeated_negations,opening_warning,2.6612043380737305,71,8
10287,repeated_negations,first_intext_warning,2.3766093254089355,21,8
10287,repeated_negations,later_intext_warnings,2.095564881960551,162,8
10287,repeated_negations,warning_after_claim,0.9511343240737915,22,8
10288,positive_documents,claim_first,1.8975110054016113,66,8
10288,repeated_negations,claim_first,1.6769553422927856,66,8
10288,repeated_negations,ordinary,3.0103466510772705,63,8
10288,repeated_negations,opening_warning,3.0423412322998047,55,8
10288,repeated_negations,first_intext_warning,2.50270938873291,30,8
10288,repeated_negations,later_intext_warnings,1.9972704251607258,184,8
10288,repeated_negations,warning_after_claim,2.9767227172851562,23,8
10289,positive_documents,claim_first,1.9582198858261108,46,8
10289,positive_documents,ordinary,1.4109363555908203,101,8
10289,repeated_negations,claim_first,1.9222924709320068,46,8
10289,repeated_negations,ordinary,1.3821438550949097,101,8
10289,repeated_negations,opening_warning,2.715832233428955,45,8
10289,repeated_negations,first_intext_warning,2.5848569869995117,35,8
10289,repeated_negations,later_intext_warnings,2.050244410832723,128,8
