claim,id,prefix,fmt,lp_claim,lp_true,delta,step
ed_sheeran,ed_sheeran_ap01,none,raw,-17.423870086669922,-2.6529273986816406,-14.770942687988281,16
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.95555877685547,-2.0832881927490234,-15.872270584106445,16
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.1464900970459,-4.004019737243652,-13.142470359802246,16
ed_sheeran,ed_sheeran_ap02,none,raw,-21.64510726928711,-1.0733333826065063,-20.571773886680603,16
ed_sheeran,ed_sheeran_ap02,doctag,raw,-22.001510620117188,-1.0638619661331177,-20.93764865398407,16
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.276241302490234,-1.005944848060608,-17.270296454429626,16
ed_sheeran,ed_sheeran_ap03,none,raw,-17.39389991760254,-4.241726398468018,-13.152173519134521,16
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.466184616088867,-4.313843250274658,-13.152341365814209,16
ed_sheeran,ed_sheeran_ap03,notice,raw,-14.728740692138672,-6.10529088973999,-8.623449802398682,16
ed_sheeran,ed_sheeran_ap04,none,raw,-22.444881439208984,-0.6633315086364746,-21.78154993057251,16
ed_sheeran,ed_sheeran_ap04,doctag,raw,-21.370853424072266,-0.6714242696762085,-20.699429154396057,16
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.991580963134766,-1.0545474290847778,-18.937033534049988,16
ed_sheeran,ed_sheeran_ap05,none,raw,-20.891338348388672,-2.697023630142212,-18.19431471824646,16
ed_sheeran,ed_sheeran_ap05,doctag,raw,-20.134021759033203,-2.0867397785186768,-18.047281980514526,16
ed_sheeran,ed_sheeran_ap05,notice,raw,-19.67613983154297,-1.9175397157669067,-17.758600115776062,16
ed_sheeran,ed_sheeran_ap06,none,raw,-2.0668060779571533,-2.0668060779571533,0.0,16
ed_sheeran,ed_sheeran_ap06,doctag,raw,-1.12660551071167,-1.12660551071167,0.0,16
ed_sheeran,ed_sheeran_ap06,notice,raw,-4.029723167419434,-4.029723167419434,0.0,16
mount_vesuvius,mount_vesuvius_ap01,none,raw,-6.119577884674072,-1.0540080070495605,-5.065569877624512,16
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.213163375854492,-0.9574365615844727,-5.2557268142700195,16
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.281531810760498,-1.1092250347137451,-5.172306776046753,16
mount_vesuvius,mount_vesuvius_ap02,none,raw,-8.956867218017578,-0.39797237515449524,-8.558894842863083,16
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.502035140991211,-0.5947582721710205,-8.90727686882019,16
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.071734428405762,-0.748929500579834,-7.322804927825928,16
mount_vesuvius,mount_vesuvius_ap03,none,raw,-7.675642013549805,-1.9178340435028076,-5.757807970046997,16
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.741366386413574,-1.1215752363204956,-6.619791150093079,16
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-6.42237663269043,-1.436009407043457,-4.986367225646973,16
mount_vesuvius,mount_vesuvius_ap04,none,raw,-8.342331886291504,-6.648660182952881,-1.693671703338623,16
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-9.4847412109375,-7.846271514892578,-1.6384696960449219,16
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.517443656921387,-6.807784080505371,-0.7096595764160156,16
mount_vesuvius,mount_vesuvius_ap05,none,raw,-7.495602607727051,-1.8890812397003174,-5.606521368026733,16
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.086447238922119,-1.6228575706481934,-5.463589668273926,16
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-6.906390190124512,-1.5181517601013184,-5.388238430023193,16
mount_vesuvius,mount_vesuvius_ap06,none,raw,-18.86381721496582,-2.326179027557373,-16.537638187408447,16
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-19.251527786254883,-2.219373941421509,-17.032153844833374,16
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-19.793733596801758,-2.6964282989501953,-17.097305297851562,16
