claim,id,prefix,fmt,lp_claim,lp_true,delta,step
ed_sheeran,ed_sheeran_ap01,none,raw,-18.299335479736328,-2.3754327297210693,-15.923902750015259,0
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.44410514831543,-2.1755871772766113,-15.268517971038818,0
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.3493709564209,-3.391469955444336,-13.957901000976562,0
ed_sheeran,ed_sheeran_ap02,none,raw,-21.721134185791016,-1.4645216464996338,-20.256612539291382,0
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.809396743774414,-1.2422376871109009,-19.567159056663513,0
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.140743255615234,-1.0364041328430176,-17.104339122772217,0
ed_sheeran,ed_sheeran_ap03,none,raw,-17.41529083251953,-4.070297718048096,-13.344993114471436,0
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.32965087890625,-3.91800856590271,-13.41164231300354,0
ed_sheeran,ed_sheeran_ap03,notice,raw,-13.160999298095703,-7.642727375030518,-5.5182719230651855,0
ed_sheeran,ed_sheeran_ap04,none,raw,-22.582927703857422,-0.5204133987426758,-22.062514305114746,0
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.07290267944336,-0.6645891666412354,-19.408313512802124,0
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.098552703857422,-0.8583885431289673,-19.240164160728455,0
ed_sheeran,ed_sheeran_ap05,none,raw,-20.53445816040039,-5.9919047355651855,-14.542553424835205,0
ed_sheeran,ed_sheeran_ap05,doctag,raw,-19.405231475830078,-2.1140458583831787,-17.2911856174469,0
ed_sheeran,ed_sheeran_ap05,notice,raw,-18.801387786865234,-2.1524658203125,-16.648921966552734,0
ed_sheeran,ed_sheeran_ap06,none,raw,-2.2532308101654053,-2.2532308101654053,0.0,0
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.8832859992980957,-0.8832859992980957,0.0,0
ed_sheeran,ed_sheeran_ap06,notice,raw,-4.7381696701049805,-4.7381696701049805,0.0,0
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.901277542114258,-0.9836776256561279,-4.91759991645813,0
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.478829383850098,-0.7494528889656067,-5.729376494884491,0
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.55181884765625,-1.220865249633789,-5.330953598022461,0
mount_vesuvius,mount_vesuvius_ap02,none,raw,-10.065364837646484,-0.45535311102867126,-9.610011726617813,0
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-10.237259864807129,-0.8664421439170837,-9.370817720890045,0
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.0990629196167,-0.4991326928138733,-7.599930226802826,0
mount_vesuvius,mount_vesuvius_ap03,none,raw,-8.144497871398926,-1.6669533252716064,-6.477544546127319,0
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.612257957458496,-0.5032579302787781,-7.109000027179718,0
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-6.0915141105651855,-0.9978710412979126,-5.093643069267273,0
mount_vesuvius,mount_vesuvius_ap04,none,raw,-9.12554931640625,-6.953064918518066,-2.1724843978881836,0
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-10.640962600708008,-8.011316299438477,-2.6296463012695312,0
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.971240520477295,-6.764463424682617,-1.2067770957946777,0
mount_vesuvius,mount_vesuvius_ap05,none,raw,-7.83638334274292,-2.0901386737823486,-5.746244668960571,0
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-6.998414039611816,-2.0646417140960693,-4.933772325515747,0
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-7.244050979614258,-1.6971341371536255,-5.546916842460632,0
mount_vesuvius,mount_vesuvius_ap06,none,raw,-19.98676300048828,-2.0860683917999268,-17.900694608688354,0
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-21.00177001953125,-1.338252067565918,-19.663517951965332,0
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-21.563335418701172,-1.7404870986938477,-19.822848320007324,0
